Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 9.712955e-02, 1.001359e+00, -2.590986e+00, -3.548594e-01, -6.357554e-11, 2.734853e-10, 5.899893e+01, 1.022474e-01
2.038000e+08, 9.801298e-02, 1.001301e+00, -2.589468e+00, -3.613892e-01, -5.813668e-11, 2.736735e-10, 5.907837e+01, 1.034419e-01
2.076000e+08, 9.890100e-02, 1.001242e+00, -2.588080e+00, -3.679234e-01, -5.276625e-11, 2.738518e-10, 5.915898e+01, 1.046240e-01
2.114000e+08, 9.979324e-02, 1.001181e+00, -2.586820e+00, -3.744619e-01, -4.746970e-11, 2.740209e-10, 5.924077e+01, 1.057933e-01
2.152000e+08, 1.006894e-01, 1.001120e+00, -2.585686e+00, -3.810045e-01, -4.225158e-11, 2.741812e-10, 5.932370e+01, 1.069491e-01
2.190000e+08, 1.015891e-01, 1.001057e+00, -2.584678e+00, -3.875509e-01, -3.711565e-11, 2.743333e-10, 5.940777e+01, 1.080909e-01
2.228000e+08, 1.024921e-01, 1.000993e+00, -2.583791e+00, -3.941009e-01, -3.206498e-11, 2.744776e-10, 5.949297e+01, 1.092182e-01
2.266000e+08, 1.033980e-01, 1.000928e+00, -2.583026e+00, -4.006543e-01, -2.710203e-11, 2.746146e-10, 5.957927e+01, 1.103305e-01
2.304000e+08, 1.043066e-01, 1.000861e+00, -2.582379e+00, -4.072111e-01, -2.222868e-11, 2.747447e-10, 5.966666e+01, 1.114274e-01
2.342000e+08, 1.052176e-01, 1.000794e+00, -2.581848e+00, -4.137709e-01, -1.744634e-11, 2.748682e-10, 5.975513e+01, 1.125085e-01
2.380000e+08, 1.061307e-01, 1.000725e+00, -2.581431e+00, -4.203337e-01, -1.275599e-11, 2.749854e-10, 5.984465e+01, 1.135733e-01
2.418000e+08, 1.070457e-01, 1.000655e+00, -2.581127e+00, -4.268993e-01, -8.158213e-12, 2.750966e-10, 5.993523e+01, 1.146214e-01
2.456000e+08, 1.079622e-01, 1.000584e+00, -2.580932e+00, -4.334675e-01, -3.653271e-12, 2.752022e-10, 6.002683e+01, 1.156525e-01
2.494000e+08, 1.088801e-01, 1.000511e+00, -2.580845e+00, -4.400382e-01, 7.588801e-13, 2.753023e-10, 6.011944e+01, 1.166663e-01
2.532000e+08, 1.097990e-01, 1.000438e+00, -2.580863e+00, -4.466114e-01, 5.078539e-12, 2.753971e-10, 6.021306e+01, 1.176622e-01
2.570000e+08, 1.107188e-01, 1.000363e+00, -2.580984e+00, -4.531868e-01, 9.306234e-12, 2.754870e-10, 6.030765e+01, 1.186402e-01
2.608000e+08, 1.116392e-01, 1.000287e+00, -2.581206e+00, -4.597644e-01, 1.344269e-11, 2.755721e-10, 6.040321e+01, 1.195997e-01
2.646000e+08, 1.125601e-01, 1.000210e+00, -2.581527e+00, -4.663439e-01, 1.748880e-11, 2.756526e-10, 6.049972e+01, 1.205406e-01
2.684000e+08, 1.134811e-01, 1.000131e+00, -2.581945e+00, -4.729255e-01, 2.144562e-11, 2.757286e-10, 6.059716e+01, 1.214625e-01
2.722000e+08, 1.144021e-01, 1.000052e+00, -2.582457e+00, -4.795088e-01, 2.531431e-11, 2.758004e-10, 6.069552e+01, 1.223652e-01
2.760000e+08, 1.153229e-01, 9.999708e-01, -2.583061e+00, -4.860938e-01, 2.909616e-11, 2.758680e-10, 6.079478e+01, 1.232484e-01
2.798000e+08, 1.162433e-01, 9.998887e-01, -2.583756e+00, -4.926805e-01, 3.279253e-11, 2.759316e-10, 6.089492e+01, 1.241118e-01
2.836000e+08, 1.171631e-01, 9.998054e-01, -2.584539e+00, -4.992686e-01, 3.640488e-11, 2.759913e-10, 6.099593e+01, 1.249552e-01
2.874000e+08, 1.180821e-01, 9.997210e-01, -2.585408e+00, -5.058582e-01, 3.993472e-11, 2.760472e-10, 6.109779e+01, 1.257784e-01
2.912000e+08, 1.190001e-01, 9.996353e-01, -2.586362e+00, -5.124492e-01, 4.338361e-11, 2.760996e-10, 6.120049e+01, 1.265811e-01
2.950000e+08, 1.199170e-01, 9.995485e-01, -2.587398e+00, -5.190414e-01, 4.675315e-11, 2.761483e-10, 6.130400e+01, 1.273631e-01
2.988000e+08, 1.208326e-01, 9.994605e-01, -2.588514e+00, -5.256347e-01, 5.004498e-11, 2.761936e-10, 6.140831e+01, 1.281243e-01
3.026000e+08, 1.217467e-01, 9.993713e-01, -2.589709e+00, -5.322291e-01, 5.326075e-11, 2.762356e-10, 6.151340e+01, 1.288644e-01
3.064000e+08, 1.226592e-01, 9.992810e-01, -2.590980e+00, -5.388246e-01, 5.640212e-11, 2.762743e-10, 6.161926e+01, 1.295832e-01
3.102000e+08, 1.235699e-01, 9.991895e-01, -2.592327e+00, -5.454209e-01, 5.947079e-11, 2.763098e-10, 6.172586e+01, 1.302805e-01
3.140000e+08, 1.244786e-01, 9.990969e-01, -2.593747e+00, -5.520181e-01, 6.246842e-11, 2.763422e-10, 6.183320e+01, 1.309562e-01
3.178000e+08, 1.253852e-01, 9.990032e-01, -2.595238e+00, -5.586161e-01, 6.539670e-11, 2.763716e-10, 6.194125e+01, 1.316101e-01
3.216000e+08, 1.262896e-01, 9.989084e-01, -2.596800e+00, -5.652148e-01, 6.825730e-11, 2.763980e-10, 6.204999e+01, 1.322421e-01
3.254000e+08, 1.271916e-01, 9.988125e-01, -2.598430e+00, -5.718141e-01, 7.105187e-11, 2.764215e-10, 6.215941e+01, 1.328519e-01
3.292000e+08, 1.280911e-01, 9.987155e-01, -2.600126e+00, -5.784139e-01, 7.378206e-11, 2.764422e-10, 6.226949e+01, 1.334394e-01
3.330000e+08, 1.289880e-01, 9.986174e-01, -2.601888e+00, -5.850143e-01, 7.644949e-11, 2.764601e-10, 6.238022e+01, 1.340045e-01
3.368000e+08, 1.298821e-01, 9.985182e-01, -2.603713e+00, -5.916151e-01, 7.905576e-11, 2.764753e-10, 6.249157e+01, 1.345471e-01
3.406000e+08, 1.307732e-01, 9.984181e-01, -2.605601e+00, -5.982162e-01, 8.160247e-11, 2.764879e-10, 6.260352e+01, 1.350669e-01
3.444000e+08, 1.316614e-01, 9.983169e-01, -2.607549e+00, -6.048177e-01, 8.409115e-11, 2.764978e-10, 6.271607e+01, 1.355639e-01
3.482000e+08, 1.325463e-01, 9.982147e-01, -2.609557e+00, -6.114194e-01, 8.652336e-11, 2.765053e-10, 6.282918e+01, 1.360380e-01
3.520000e+08, 1.334281e-01, 9.981115e-01, -2.611623e+00, -6.180213e-01, 8.890058e-11, 2.765102e-10, 6.294284e+01, 1.364890e-01
3.558000e+08, 1.343064e-01, 9.980073e-01, -2.613745e+00, -6.246232e-01, 9.122429e-11, 2.765127e-10, 6.305704e+01, 1.369168e-01
3.596000e+08, 1.351812e-01, 9.979022e-01, -2.615923e+00, -6.312253e-01, 9.349594e-11, 2.765128e-10, 6.317175e+01, 1.373213e-01
3.634000e+08, 1.360524e-01, 9.977961e-01, -2.618156e+00, -6.378273e-01, 9.571693e-11, 2.765105e-10, 6.328695e+01, 1.377024e-01
3.672000e+08, 1.369199e-01, 9.976892e-01, -2.620441e+00, -6.444293e-01, 9.788866e-11, 2.765060e-10, 6.340263e+01, 1.380601e-01
3.710000e+08, 1.377835e-01, 9.975813e-01, -2.622778e+00, -6.510312e-01, 1.000125e-10, 2.764992e-10, 6.351877e+01, 1.383941e-01
3.748000e+08, 1.386433e-01, 9.974726e-01, -2.625166e+00, -6.576329e-01, 1.020897e-10, 2.764902e-10, 6.363534e+01, 1.387044e-01
3.786000e+08, 1.394990e-01, 9.973630e-01, -2.627603e+00, -6.642345e-01, 1.041216e-10, 2.764790e-10, 6.375233e+01, 1.389910e-01
