Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 3.441115e-02, 8.064829e-01, 3.657551e-01, -3.052279e-01, 8.506158e-11, 2.537966e-10, 5.331967e+01, 2.463880e-02
2.038000e+08, 3.437412e-02, 8.063400e-01, 3.637242e-01, -3.112876e-01, 7.604813e-11, 2.533814e-10, 5.331865e+01, 2.448172e-02
2.076000e+08, 3.434157e-02, 8.061966e-01, 3.619084e-01, -3.173373e-01, 6.741452e-11, 2.529805e-10, 5.331777e+01, 2.434184e-02
2.114000e+08, 3.431341e-02, 8.060527e-01, 3.602988e-01, -3.233775e-01, 5.914293e-11, 2.525930e-10, 5.331705e+01, 2.421844e-02
2.152000e+08, 3.428956e-02, 8.059083e-01, 3.588867e-01, -3.294085e-01, 5.121720e-11, 2.522183e-10, 5.331649e+01, 2.411087e-02
2.190000e+08, 3.426993e-02, 8.057636e-01, 3.576639e-01, -3.354304e-01, 4.362256e-11, 2.518554e-10, 5.331610e+01, 2.401850e-02
2.228000e+08, 3.425448e-02, 8.056186e-01, 3.566223e-01, -3.414438e-01, 3.634559e-11, 2.515039e-10, 5.331589e+01, 2.394076e-02
2.266000e+08, 3.424316e-02, 8.054734e-01, 3.557545e-01, -3.474487e-01, 2.937407e-11, 2.511631e-10, 5.331586e+01, 2.387710e-02
2.304000e+08, 3.423593e-02, 8.053281e-01, 3.550532e-01, -3.534455e-01, 2.269685e-11, 2.508324e-10, 5.331603e+01, 2.382700e-02
2.342000e+08, 3.423276e-02, 8.051827e-01, 3.545113e-01, -3.594344e-01, 1.630376e-11, 2.505115e-10, 5.331640e+01, 2.378997e-02
2.380000e+08, 3.423362e-02, 8.050374e-01, 3.541220e-01, -3.654156e-01, 1.018553e-11, 2.501998e-10, 5.331699e+01, 2.376556e-02
2.418000e+08, 3.423851e-02, 8.048922e-01, 3.538788e-01, -3.713894e-01, 4.333682e-12, 2.498969e-10, 5.331778e+01, 2.375333e-02
2.456000e+08, 3.424741e-02, 8.047472e-01, 3.537754e-01, -3.773560e-01, -1.259534e-12, 2.496025e-10, 5.331881e+01, 2.375286e-02
2.494000e+08, 3.426031e-02, 8.046024e-01, 3.538054e-01, -3.833155e-01, -6.601219e-12, 2.493162e-10, 5.332006e+01, 2.376377e-02
2.532000e+08, 3.427722e-02, 8.044579e-01, 3.539630e-01, -3.892682e-01, -1.169789e-11, 2.490378e-10, 5.332155e+01, 2.378566e-02
2.570000e+08, 3.429814e-02, 8.043138e-01, 3.542423e-01, -3.952143e-01, -1.655556e-11, 2.487669e-10, 5.332329e+01, 2.381818e-02
2.608000e+08, 3.432307e-02, 8.041701e-01, 3.546376e-01, -4.011539e-01, -2.117974e-11, 2.485032e-10, 5.332528e+01, 2.386100e-02
2.646000e+08, 3.435203e-02, 8.040270e-01, 3.551433e-01, -4.070872e-01, -2.557557e-11, 2.482467e-10, 5.332753e+01, 2.391377e-02
2.684000e+08, 3.438503e-02, 8.038844e-01, 3.557540e-01, -4.130143e-01, -2.974780e-11, 2.479969e-10, 5.333005e+01, 2.397618e-02
2.722000e+08, 3.442208e-02, 8.037425e-01, 3.564642e-01, -4.189355e-01, -3.370088e-11, 2.477538e-10, 5.333285e+01, 2.404792e-02
2.760000e+08, 3.446320e-02, 8.036013e-01, 3.572689e-01, -4.248509e-01, -3.743897e-11, 2.475171e-10, 5.333593e+01, 2.412870e-02
2.798000e+08, 3.450841e-02, 8.034608e-01, 3.581628e-01, -4.307607e-01, -4.096599e-11, 2.472867e-10, 5.333929e+01, 2.421824e-02
2.836000e+08, 3.455772e-02, 8.033212e-01, 3.591409e-01, -4.366649e-01, -4.428566e-11, 2.470624e-10, 5.334295e+01, 2.431626e-02
2.874000e+08, 3.461116e-02, 8.031825e-01, 3.601982e-01, -4.425638e-01, -4.740154e-11, 2.468441e-10, 5.334691e+01, 2.442249e-02
2.912000e+08, 3.466875e-02, 8.030446e-01, 3.613300e-01, -4.484575e-01, -5.031703e-11, 2.466316e-10, 5.335119e+01, 2.453667e-02
2.950000e+08, 3.473050e-02, 8.029078e-01, 3.625314e-01, -4.543461e-01, -5.303541e-11, 2.464248e-10, 5.335577e+01, 2.465856e-02
2.988000e+08, 3.479645e-02, 8.027720e-01, 3.637977e-01, -4.602297e-01, -5.555990e-11, 2.462235e-10, 5.336068e+01, 2.478790e-02
3.026000e+08, 3.486660e-02, 8.026373e-01, 3.651242e-01, -4.661086e-01, -5.789361e-11, 2.460278e-10, 5.336592e+01, 2.492445e-02
3.064000e+08, 3.494099e-02, 8.025038e-01, 3.665065e-01, -4.719828e-01, -6.003963e-11, 2.458374e-10, 5.337149e+01, 2.506799e-02
3.102000e+08, 3.501962e-02, 8.023714e-01, 3.679400e-01, -4.778524e-01, -6.200100e-11, 2.456522e-10, 5.337740e+01, 2.521829e-02
3.140000e+08, 3.510253e-02, 8.022403e-01, 3.694203e-01, -4.837176e-01, -6.378076e-11, 2.454722e-10, 5.338366e+01, 2.537511e-02
3.178000e+08, 3.518973e-02, 8.021104e-01, 3.709432e-01, -4.895786e-01, -6.538195e-11, 2.452973e-10, 5.339027e+01, 2.553825e-02
3.216000e+08, 3.528124e-02, 8.019818e-01, 3.725042e-01, -4.954353e-01, -6.680761e-11, 2.451274e-10, 5.339724e+01, 2.570749e-02
