Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 6.656725e-02, 7.893674e-01, -1.872566e+00, -4.304165e-01, 3.844549e-10, 3.247199e-10, 4.806759e+01, -1.269970e-01
2.038000e+08, 6.728345e-02, 7.895241e-01, -1.881745e+00, -4.381695e-01, 3.848366e-10, 3.253942e-10, 4.799099e+01, -1.279926e-01
2.076000e+08, 6.800901e-02, 7.896811e-01, -1.890934e+00, -4.459386e-01, 3.851854e-10, 3.260447e-10, 4.791314e+01, -1.289870e-01
2.114000e+08, 6.874334e-02, 7.898381e-01, -1.900130e+00, -4.537233e-01, 3.855058e-10, 3.266728e-10, 4.783408e+01, -1.299786e-01
2.152000e+08, 6.948588e-02, 7.899950e-01, -1.909335e+00, -4.615230e-01, 3.858020e-10, 3.272798e-10, 4.775380e+01, -1.309659e-01
2.190000e+08, 7.023612e-02, 7.901517e-01, -1.918546e+00, -4.693372e-01, 3.860779e-10, 3.278668e-10, 4.767234e+01, -1.319474e-01
2.228000e+08, 7.099355e-02, 7.903080e-01, -1.927764e+00, -4.771653e-01, 3.863367e-10, 3.284350e-10, 4.758970e+01, -1.329218e-01
2.266000e+08, 7.175771e-02, 7.904639e-01, -1.936988e+00, -4.850071e-01, 3.865813e-10, 3.289851e-10, 4.750591e+01, -1.338878e-01
2.304000e+08, 7.252815e-02, 7.906192e-01, -1.946218e+00, -4.928620e-01, 3.868143e-10, 3.295180e-10, 4.742098e+01, -1.348439e-01
2.342000e+08, 7.330445e-02, 7.907738e-01, -1.955454e+00, -5.007296e-01, 3.870378e-10, 3.300347e-10, 4.733493e+01, -1.357891e-01
2.380000e+08, 7.408622e-02, 7.909275e-01, -1.964695e+00, -5.086095e-01, 3.872540e-10, 3.305356e-10, 4.724778e+01, -1.367222e-01
2.418000e+08, 7.487306e-02, 7.910802e-01, -1.973941e+00, -5.165014e-01, 3.874645e-10, 3.310215e-10, 4.715955e+01, -1.376419e-01
2.456000e+08, 7.566461e-02, 7.912318e-01, -1.983192e+00, -5.244049e-01, 3.876708e-10, 3.314930e-10, 4.707026e+01, -1.385472e-01
2.494000e+08, 7.646053e-02, 7.913822e-01, -1.992448e+00, -5.323197e-01, 3.878743e-10, 3.319506e-10, 4.697993e+01, -1.394371e-01
2.532000e+08, 7.726046e-02, 7.915312e-01, -2.001709e+00, -5.402454e-01, 3.880759e-10, 3.323947e-10, 4.688859e+01, -1.403104e-01
2.570000e+08, 7.806410e-02, 7.916789e-01, -2.010975e+00, -5.481817e-01, 3.882768e-10, 3.328258e-10, 4.679624e+01, -1.411661e-01
2.608000e+08, 7.887113e-02, 7.918249e-01, -2.020245e+00, -5.561283e-01, 3.884776e-10, 3.332444e-10, 4.670293e+01, -1.420034e-01
2.646000e+08, 7.968125e-02, 7.919693e-01, -2.029521e+00, -5.640848e-01, 3.886791e-10, 3.336507e-10, 4.660866e+01, -1.428212e-01
2.684000e+08, 8.049417e-02, 7.921120e-01, -2.038801e+00, -5.720511e-01, 3.888819e-10, 3.340452e-10, 4.651347e+01, -1.436186e-01
2.722000e+08, 8.130962e-02, 7.922527e-01, -2.048086e+00, -5.800268e-01, 3.890864e-10, 3.344280e-10, 4.641738e+01, -1.443948e-01
2.760000e+08, 8.212732e-02, 7.923915e-01, -2.057376e+00, -5.880116e-01, 3.892930e-10, 3.347996e-10, 4.632041e+01, -1.451488e-01
2.798000e+08, 8.294701e-02, 7.925283e-01, -2.066671e+00, -5.960054e-01, 3.895021e-10, 3.351601e-10, 4.622259e+01, -1.458798e-01
2.836000e+08, 8.376844e-02, 7.926628e-01, -2.075970e+00, -6.040077e-01, 3.897138e-10, 3.355099e-10, 4.612394e+01, -1.465869e-01
2.874000e+08, 8.459136e-02, 7.927952e-01, -2.085275e+00, -6.120183e-01, 3.899284e-10, 3.358490e-10, 4.602450e+01, -1.472694e-01
2.912000e+08, 8.541553e-02, 7.929252e-01, -2.094585e+00, -6.200371e-01, 3.901460e-10, 3.361779e-10, 4.592428e+01, -1.479265e-01
2.950000e+08, 8.624072e-02, 7.930528e-01, -2.103900e+00, -6.280637e-01, 3.903666e-10, 3.364965e-10, 4.582331e+01, -1.485573e-01
2.988000e+08, 8.706670e-02, 7.931779e-01, -2.113221e+00, -6.360980e-01, 3.905902e-10, 3.368051e-10, 4.572162e+01, -1.491613e-01
3.026000e+08, 8.789325e-02, 7.933004e-01, -2.122547e+00, -6.441395e-01, 3.908170e-10, 3.371040e-10, 4.561925e+01, -1.497375e-01
3.064000e+08, 8.872016e-02, 7.934202e-01, -2.131878e+00, -6.521883e-01, 3.910468e-10, 3.373931e-10, 4.551621e+01, -1.502854e-01
3.102000e+08, 8.954720e-02, 7.935373e-01, -2.141214e+00, -6.602439e-01, 3.912797e-10, 3.376727e-10, 4.541254e+01, -1.508041e-01
