Frequency [Hz], |S01| [-], |S11| [-], Arg(S01) [-], Arg(S11) [-], Delay 1>0 [s], Delay 1>1 [s], |Z1| [Ohm] , Arg(Z1) [-]
2.000000e+08, 1.457786e+00, 5.235546e-01, -5.685881e-01, -7.198419e-01, 3.486772e-10, 3.413290e-10, 2.429684e+01, 7.602891e-01
2.038000e+08, 1.455593e+00, 5.206602e-01, -5.769131e-01, -7.279915e-01, 3.477721e-10, 3.385660e-10, 2.454720e+01, 7.600495e-01
2.076000e+08, 1.453466e+00, 5.178142e-01, -5.852166e-01, -7.360751e-01, 3.469029e-10, 3.359199e-10, 2.479545e+01, 7.597841e-01
2.114000e+08, 1.451407e+00, 5.150182e-01, -5.934993e-01, -7.440956e-01, 3.460847e-10, 3.334204e-10, 2.504160e+01, 7.594995e-01
2.152000e+08, 1.449419e+00, 5.122735e-01, -6.017624e-01, -7.520564e-01, 3.453321e-10, 3.310960e-10, 2.528567e+01, 7.592022e-01
2.190000e+08, 1.447504e+00, 5.095812e-01, -6.100076e-01, -7.599616e-01, 3.446594e-10, 3.289739e-10, 2.552770e+01, 7.588987e-01
2.228000e+08, 1.445664e+00, 5.069426e-01, -6.182367e-01, -7.678163e-01, 3.440800e-10, 3.270791e-10, 2.576776e+01, 7.585951e-01
2.266000e+08, 1.443902e+00, 5.043584e-01, -6.264520e-01, -7.756256e-01, 3.436063e-10, 3.254346e-10, 2.600592e+01, 7.582977e-01
2.304000e+08, 1.442219e+00, 5.018292e-01, -6.346560e-01, -7.833957e-01, 3.432493e-10, 3.240602e-10, 2.624229e+01, 7.580119e-01
2.342000e+08, 1.440616e+00, 4.993553e-01, -6.428515e-01, -7.911330e-01, 3.430188e-10, 3.229727e-10, 2.647700e+01, 7.577430e-01
2.380000e+08, 1.439094e+00, 4.969366e-01, -6.510414e-01, -7.988444e-01, 3.429228e-10, 3.221850e-10, 2.671019e+01, 7.574958e-01
2.418000e+08, 1.437655e+00, 4.945730e-01, -6.592291e-01, -8.065369e-01, 3.429674e-10, 3.217065e-10, 2.694203e+01, 7.572741e-01
2.456000e+08, 1.436298e+00, 4.922636e-01, -6.674178e-01, -8.142180e-01, 3.431570e-10, 3.215422e-10, 2.717269e+01, 7.570814e-01
2.494000e+08, 1.435023e+00, 4.900074e-01, -6.756111e-01, -8.218952e-01, 3.434938e-10, 3.216928e-10, 2.740237e+01, 7.569202e-01
