Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 3.984847e-02, 1.364062e-03, 3.548072e-03, 7.856283e-01, 1.505223e+00, 1.358115e+00, -5.619147e-01, -3.321688e-01, 2.720349e-10, 3.080706e-10, -4.339501e-09, 2.524436e-10, 5.030115e+01, -3.780908e-03
2.038000e+08, 4.056431e-02, 1.372587e-03, 3.582349e-03, 7.857954e-01, 1.498728e+00, 1.350759e+00, -4.583043e-01, -3.381962e-01, 2.688010e-10, 2.982261e-10, -4.094582e-09, 2.529504e-10, 5.032230e+01, -3.169893e-03
2.076000e+08, 4.127331e-02, 1.379813e-03, 3.659119e-03, 7.859630e-01, 1.492310e+00, 1.343639e+00, -3.605417e-01, -3.442357e-01, 2.655990e-10, 2.865525e-10, -3.776070e-09, 2.534397e-10, 5.034356e+01, -2.581765e-03
2.114000e+08, 4.197548e-02, 1.385640e-03, 3.773032e-03, 7.861312e-01, 1.485969e+00, 1.336797e+00, -2.703839e-01, -3.502868e-01, 2.624359e-10, 2.723565e-10, -3.418875e-09, 2.539127e-10, 5.036492e+01, -2.015590e-03
2.152000e+08, 4.267082e-02, 1.389955e-03, 3.918401e-03, 7.862996e-01, 1.479703e+00, 1.330294e+00, -1.887544e-01, -3.563493e-01, 2.593179e-10, 2.546620e-10, -3.052768e-09, 2.543702e-10, 5.038637e+01, -1.470485e-03
2.190000e+08, 4.335936e-02, 1.392634e-03, 4.089711e-03, 7.864684e-01, 1.473511e+00, 1.324214e+00, -1.158662e-01, -3.624226e-01, 2.562502e-10, 2.320825e-10, -2.699092e-09, 2.548130e-10, 5.040789e+01, -9.456151e-04
2.228000e+08, 4.404110e-02, 1.393542e-03, 4.281934e-03, 7.866371e-01, 1.467393e+00, 1.318673e+00, -5.142241e-02, -3.685066e-01, 2.532375e-10, 2.026506e-10, -2.370780e-09, 2.552418e-10, 5.042946e+01, -4.401888e-04
2.266000e+08, 4.471609e-02, 1.392544e-03, 4.490698e-03, 7.868059e-01, 1.461347e+00, 1.313834e+00, 5.182580e-03, -3.746008e-01, 2.502835e-10, 1.636235e-10, -2.074070e-09, 2.556574e-10, 5.045109e+01, 4.654753e-05
2.304000e+08, 4.538435e-02, 1.389522e-03, 4.712307e-03, 7.869745e-01, 1.455371e+00, 1.309928e+00, 5.470330e-02, -3.807049e-01, 2.473915e-10, 1.113681e-10, -1.810622e-09, 2.560602e-10, 5.047275e+01, 5.153118e-04
2.342000e+08, 4.604591e-02, 1.384416e-03, 4.943710e-03, 7.871428e-01, 1.449464e+00, 1.307269e+00, 9.793390e-02, -3.868186e-01, 2.445641e-10, 4.165220e-11, -1.579330e-09, 2.564508e-10, 5.049443e+01, 9.667898e-04
2.380000e+08, 4.670082e-02, 1.377298e-03, 5.182417e-03, 7.873107e-01, 1.443625e+00, 1.306274e+00, 1.356421e-01, -3.929416e-01, 2.418035e-10, -4.895377e-11, -1.377643e-09, 2.568298e-10, 5.051613e+01, 1.401638e-03
2.418000e+08, 4.734912e-02, 1.368485e-03, 5.426415e-03, 7.874782e-01, 1.437852e+00, 1.307443e+00, 1.685349e-01, -3.990737e-01, 2.391112e-10, -1.597766e-10, -1.202409e-09, 2.571975e-10, 5.053783e+01, 1.820485e-03
2.456000e+08, 4.799084e-02, 1.358658e-03, 5.674084e-03, 7.876450e-01, 1.432143e+00, 1.311258e+00, 1.972437e-01, -4.052146e-01, 2.364886e-10, -2.818894e-10, -1.050383e-09, 2.575545e-10, 5.055952e+01, 2.223937e-03
