Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 9.284201e-02, 7.688276e-01, 2.887375e+00, -3.821062e-01, 4.048651e-10, 2.840302e-10, 3.340738e+01, 4.706862e-02
2.038000e+08, 9.229858e-02, 7.690802e-01, 2.877708e+00, -3.888878e-01, 3.998014e-10, 2.848656e-10, 3.345841e+01, 4.852453e-02
2.076000e+08, 9.175001e-02, 7.693337e-01, 2.868162e+00, -3.956892e-01, 3.949301e-10, 2.856725e-10, 3.351003e+01, 4.993070e-02
2.114000e+08, 9.119624e-02, 7.695881e-01, 2.858733e+00, -4.025100e-01, 3.902373e-10, 2.864523e-10, 3.356220e+01, 5.128814e-02
2.152000e+08, 9.063724e-02, 7.698431e-01, 2.849416e+00, -4.093493e-01, 3.857099e-10, 2.872068e-10, 3.361491e+01, 5.259780e-02
2.190000e+08, 9.007298e-02, 7.700986e-01, 2.840206e+00, -4.162067e-01, 3.813363e-10, 2.879371e-10, 3.366814e+01, 5.386054e-02
2.228000e+08, 8.950345e-02, 7.703544e-01, 2.831102e+00, -4.230815e-01, 3.771055e-10, 2.886446e-10, 3.372188e+01, 5.507720e-02
2.266000e+08, 8.892864e-02, 7.706103e-01, 2.822098e+00, -4.299733e-01, 3.730075e-10, 2.893304e-10, 3.377610e+01, 5.624855e-02
2.304000e+08, 8.834855e-02, 7.708663e-01, 2.813192e+00, -4.368813e-01, 3.690329e-10, 2.899955e-10, 3.383079e+01, 5.737535e-02
2.342000e+08, 8.776320e-02, 7.711221e-01, 2.804381e+00, -4.438053e-01, 3.651734e-10, 2.906409e-10, 3.388593e+01, 5.845828e-02
2.380000e+08, 8.717260e-02, 7.713775e-01, 2.795662e+00, -4.507447e-01, 3.614210e-10, 2.912675e-10, 3.394150e+01, 5.949801e-02
2.418000e+08, 8.657678e-02, 7.716325e-01, 2.787033e+00, -4.576990e-01, 3.577684e-10, 2.918760e-10, 3.399748e+01, 6.049517e-02
2.456000e+08, 8.597576e-02, 7.718870e-01, 2.778490e+00, -4.646679e-01, 3.542087e-10, 2.924671e-10, 3.405386e+01, 6.145037e-02
2.494000e+08, 8.536958e-02, 7.721406e-01, 2.770033e+00, -4.716508e-01, 3.507357e-10, 2.930415e-10, 3.411063e+01, 6.236418e-02
2.532000e+08, 8.475828e-02, 7.723935e-01, 2.761659e+00, -4.786475e-01, 3.473434e-10, 2.935999e-10, 3.416775e+01, 6.323717e-02
2.570000e+08, 8.414190e-02, 7.726453e-01, 2.753366e+00, -4.856576e-01, 3.440264e-10, 2.941428e-10, 3.422522e+01, 6.406986e-02
2.608000e+08, 8.352048e-02, 7.728960e-01, 2.745152e+00, -4.926805e-01, 3.407795e-10, 2.946708e-10, 3.428302e+01, 6.486277e-02
2.646000e+08, 8.289408e-02, 7.731454e-01, 2.737015e+00, -4.997161e-01, 3.375979e-10, 2.951842e-10, 3.434112e+01, 6.561641e-02
2.684000e+08, 8.226274e-02, 7.733935e-01, 2.728955e+00, -5.067640e-01, 3.344772e-10, 2.956835e-10, 3.439952e+01, 6.633125e-02
2.722000e+08, 8.162653e-02, 7.736401e-01, 2.720969e+00, -5.138237e-01, 3.314129e-10, 2.961693e-10, 3.445820e+01, 6.700777e-02
2.760000e+08, 8.098549e-02, 7.738851e-01, 2.713056e+00, -5.208951e-01, 3.284012e-10, 2.966418e-10, 3.451714e+01, 6.764642e-02
2.798000e+08, 8.033968e-02, 7.741283e-01, 2.705215e+00, -5.279778e-01, 3.254383e-10, 2.971014e-10, 3.457632e+01, 6.824765e-02
2.836000e+08, 7.968917e-02, 7.743698e-01, 2.697445e+00, -5.350714e-01, 3.225205e-10, 2.975485e-10, 3.463572e+01, 6.881189e-02
2.874000e+08, 7.903401e-02, 7.746094e-01, 2.689744e+00, -5.421757e-01, 3.196445e-10, 2.979834e-10, 3.469534e+01, 6.933957e-02
2.912000e+08, 7.837427e-02, 7.748469e-01, 2.682113e+00, -5.492904e-01, 3.168069e-10, 2.984063e-10, 3.475515e+01, 6.983110e-02
2.950000e+08, 7.771002e-02, 7.750824e-01, 2.674548e+00, -5.564151e-01, 3.140048e-10, 2.988176e-10, 3.481514e+01, 7.028690e-02
2.988000e+08, 7.704131e-02, 7.753156e-01, 2.667051e+00, -5.635497e-01, 3.112351e-10, 2.992175e-10, 3.487529e+01, 7.070737e-02
3.026000e+08, 7.636821e-02, 7.755466e-01, 2.659620e+00, -5.706939e-01, 3.084950e-10, 2.996063e-10, 3.493559e+01, 7.109289e-02
3.064000e+08, 7.569078e-02, 7.757752e-01, 2.652254e+00, -5.778473e-01, 3.057817e-10, 2.999843e-10, 3.499603e+01, 7.144387e-02
3.102000e+08, 7.500910e-02, 7.760014e-01, 2.644954e+00, -5.850098e-01, 3.030925e-10, 3.003516e-10, 3.505657e+01, 7.176069e-02
3.140000e+08, 7.432323e-02, 7.762250e-01, 2.637717e+00, -5.921810e-01, 3.004249e-10, 3.007084e-10, 3.511722e+01, 7.204372e-02
3.178000e+08, 7.363324e-02, 7.764461e-01, 2.630544e+00, -5.993608e-01, 2.977764e-10, 3.010551e-10, 3.517796e+01, 7.229333e-02
3.216000e+08, 7.293919e-02, 7.766645e-01, 2.623434e+00, -6.065488e-01, 2.951444e-10, 3.013917e-10, 3.523876e+01, 7.250990e-02
3.254000e+08, 7.224115e-02, 7.768801e-01, 2.616387e+00, -6.137448e-01, 2.925265e-10, 3.017185e-10, 3.529962e+01, 7.269380e-02
3.292000e+08, 7.153918e-02, 7.770930e-01, 2.609403e+00, -6.209487e-01, 2.899204e-10, 3.020357e-10, 3.536052e+01, 7.284538e-02
3.330000e+08, 7.083337e-02, 7.773031e-01, 2.602481e+00, -6.281601e-01, 2.873236e-10, 3.023434e-10, 3.542145e+01, 7.296501e-02
3.368000e+08, 7.012376e-02, 7.775102e-01, 2.595621e+00, -6.353789e-01, 2.847338e-10, 3.026418e-10, 3.548240e+01, 7.305303e-02
3.406000e+08, 6.941043e-02, 7.777144e-01, 2.588822e+00, -6.426048e-01, 2.821487e-10, 3.029312e-10, 3.554334e+01, 7.310981e-02
3.444000e+08, 6.869345e-02, 7.779156e-01, 2.582086e+00, -6.498376e-01, 2.795657e-10, 3.032116e-10, 3.560427e+01, 7.313568e-02
3.482000e+08, 6.797287e-02, 7.781137e-01, 2.575411e+00, -6.570771e-01, 2.769826e-10, 3.034832e-10, 3.566517e+01, 7.313100e-02
3.520000e+08, 6.724877e-02, 7.783088e-01, 2.568797e+00, -6.643231e-01, 2.743970e-10, 3.037462e-10, 3.572603e+01, 7.309611e-02
3.558000e+08, 6.652121e-02, 7.785007e-01, 2.562246e+00, -6.715754e-01, 2.718062e-10, 3.040008e-10, 3.578683e+01, 7.303135e-02
3.596000e+08, 6.579025e-02, 7.786894e-01, 2.555756e+00, -6.788338e-01, 2.692080e-10, 3.042470e-10, 3.584757e+01, 7.293705e-02
3.634000e+08, 6.505596e-02, 7.788750e-01, 2.549329e+00, -6.860980e-01, 2.665995e-10, 3.044851e-10, 3.590822e+01, 7.281356e-02
3.672000e+08, 6.431841e-02, 7.790573e-01, 2.542963e+00, -6.933679e-01, 2.639783e-10, 3.047152e-10, 3.596879e+01, 7.266120e-02
3.710000e+08, 6.357764e-02, 7.792364e-01, 2.536660e+00, -7.006433e-01, 2.613416e-10, 3.049374e-10, 3.602924e+01, 7.248031e-02
3.748000e+08, 6.283374e-02, 7.794121e-01, 2.530421e+00, -7.079241e-01, 2.586864e-10, 3.051519e-10, 3.608958e+01, 7.227122e-02
3.786000e+08, 6.208675e-02, 7.795846e-01, 2.524244e+00, -7.152099e-01, 2.560100e-10, 3.053588e-10, 3.614979e+01, 7.203425e-02
3.824000e+08, 6.133673e-02, 7.797537e-01, 2.518132e+00, -7.225007e-01, 2.533091e-10, 3.055583e-10, 3.620985e+01, 7.176972e-02
3.862000e+08, 6.058376e-02, 7.799195e-01, 2.512084e+00, -7.297962e-01, 2.505806e-10, 3.057505e-10, 3.626976e+01, 7.147795e-02
3.900000e+08, 5.982789e-02, 7.800820e-01, 2.506101e+00, -7.370963e-01, 2.478211e-10, 3.059355e-10, 3.632951e+01, 7.115928e-02
3.938000e+08, 5.906917e-02, 7.802411e-01, 2.500184e+00, -7.444009e-01, 2.450271e-10, 3.061135e-10, 3.638907e+01, 7.081400e-02
3.976000e+08, 5.830766e-02, 7.803968e-01, 2.494333e+00, -7.517097e-01, 2.421947e-10, 3.062846e-10, 3.644845e+01, 7.044244e-02
4.014000e+08, 5.754343e-02, 7.805491e-01, 2.488551e+00, -7.590226e-01, 2.393200e-10, 3.064489e-10, 3.650763e+01, 7.004491e-02
4.052000e+08, 5.677653e-02, 7.806980e-01, 2.482837e+00, -7.663394e-01, 2.363988e-10, 3.066066e-10, 3.656660e+01, 6.962172e-02
4.090000e+08, 5.600701e-02, 7.808436e-01, 2.477192e+00, -7.736600e-01, 2.334267e-10, 3.067578e-10, 3.662535e+01, 6.917317e-02
4.128000e+08, 5.523493e-02, 7.809857e-01, 2.471619e+00, -7.809841e-01, 2.303987e-10, 3.069026e-10, 3.668386e+01, 6.869958e-02
4.166000e+08, 5.446035e-02, 7.811245e-01, 2.466118e+00, -7.883118e-01, 2.273100e-10, 3.070412e-10, 3.674214e+01, 6.820124e-02
4.204000e+08, 5.368331e-02, 7.812598e-01, 2.460691e+00, -7.956427e-01, 2.241549e-10, 3.071736e-10, 3.680016e+01, 6.767846e-02
4.242000e+08, 5.290388e-02, 7.813918e-01, 2.455339e+00, -8.029768e-01, 2.209277e-10, 3.073001e-10, 3.685791e+01, 6.713154e-02
4.280000e+08, 5.212210e-02, 7.815204e-01, 2.450064e+00, -8.103140e-01, 2.176221e-10, 3.074207e-10, 3.691540e+01, 6.656076e-02
4.318000e+08, 5.133803e-02, 7.816457e-01, 2.444868e+00, -8.176540e-01, 2.142313e-10, 3.075356e-10, 3.697260e+01, 6.596642e-02
