Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 1.158779e-01, 1.013853e+00, -2.565675e+00, -5.724213e-01, 5.709309e-11, 4.570849e-10, 4.857365e+01, 1.272420e-01
2.038000e+08, 1.172961e-01, 1.013841e+00, -2.567038e+00, -5.833347e-01, 6.729423e-11, 4.574596e-10, 4.869770e+01, 1.285573e-01
2.076000e+08, 1.187133e-01, 1.013815e+00, -2.568645e+00, -5.942570e-01, 7.717302e-11, 4.577831e-10, 4.882376e+01, 1.298173e-01
2.114000e+08, 1.201285e-01, 1.013773e+00, -2.570488e+00, -6.051871e-01, 8.672641e-11, 4.580524e-10, 4.895174e+01, 1.310205e-01
2.152000e+08, 1.215406e-01, 1.013716e+00, -2.572558e+00, -6.161236e-01, 9.595221e-11, 4.582652e-10, 4.908156e+01, 1.321656e-01
2.190000e+08, 1.229487e-01, 1.013642e+00, -2.574849e+00, -6.270652e-01, 1.048490e-10, 4.584193e-10, 4.921316e+01, 1.332512e-01
2.228000e+08, 1.243517e-01, 1.013552e+00, -2.577353e+00, -6.380105e-01, 1.134162e-10, 4.585130e-10, 4.934643e+01, 1.342762e-01
2.266000e+08, 1.257488e-01, 1.013444e+00, -2.580061e+00, -6.489580e-01, 1.216540e-10, 4.585453e-10, 4.948129e+01, 1.352395e-01
2.304000e+08, 1.271390e-01, 1.013320e+00, -2.582965e+00, -6.599063e-01, 1.295632e-10, 4.585153e-10, 4.961765e+01, 1.361401e-01
2.342000e+08, 1.285214e-01, 1.013178e+00, -2.586059e+00, -6.708538e-01, 1.371453e-10, 4.584229e-10, 4.975542e+01, 1.369773e-01
2.380000e+08, 1.298952e-01, 1.013019e+00, -2.589333e+00, -6.817992e-01, 1.444028e-10, 4.582683e-10, 4.989448e+01, 1.377503e-01
2.418000e+08, 1.312595e-01, 1.012843e+00, -2.592781e+00, -6.927408e-01, 1.513385e-10, 4.580523e-10, 5.003475e+01, 1.384585e-01
2.456000e+08, 1.326135e-01, 1.012650e+00, -2.596394e+00, -7.036773e-01, 1.579562e-10, 4.577761e-10, 5.017611e+01, 1.391014e-01
2.494000e+08, 1.339564e-01, 1.012440e+00, -2.600166e+00, -7.146072e-01, 1.642601e-10, 4.574416e-10, 5.031848e+01, 1.396788e-01
2.532000e+08, 1.352877e-01, 1.012215e+00, -2.604088e+00, -7.255292e-01, 1.702552e-10, 4.570510e-10, 5.046173e+01, 1.401902e-01
2.570000e+08, 1.366065e-01, 1.011975e+00, -2.608153e+00, -7.364418e-01, 1.759471e-10, 4.566071e-10, 5.060578e+01, 1.406357e-01
2.608000e+08, 1.379123e-01, 1.011721e+00, -2.612354e+00, -7.473438e-01, 1.813419e-10, 4.561130e-10, 5.075050e+01, 1.410152e-01
2.646000e+08, 1.392044e-01, 1.011454e+00, -2.616683e+00, -7.582340e-01, 1.864465e-10, 4.555724e-10, 5.089580e+01, 1.413288e-01
2.684000e+08, 1.404823e-01, 1.011174e+00, -2.621135e+00, -7.691113e-01, 1.912680e-10, 4.549893e-10, 5.104157e+01, 1.415766e-01
2.722000e+08, 1.417455e-01, 1.010883e+00, -2.625702e+00, -7.799746e-01, 1.958143e-10, 4.543680e-10, 5.118770e+01, 1.417591e-01
