Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 4.483153e-02, 3.672212e-03, 2.068565e-02, 8.058601e-01, 1.423610e+00, 2.823065e-01, -1.523102e+00, -4.202957e-01, 3.863558e-10, 4.177535e-10, 1.961937e-10, 3.242702e-10, 5.009868e+01, -4.131842e-02
2.038000e+08, 4.565962e-02, 3.724081e-03, 2.068944e-02, 8.060965e-01, 1.414385e+00, 2.723322e-01, -1.527786e+00, -4.280380e-01, 3.828193e-10, 4.053864e-10, 2.105795e-10, 3.249590e-10, 5.008900e+01, -4.133477e-02
2.076000e+08, 4.647476e-02, 3.774971e-03, 2.070302e-02, 8.063324e-01, 1.405245e+00, 2.626531e-01, -1.532814e+00, -4.357967e-01, 3.789484e-10, 3.929253e-10, 2.249028e-10, 3.256259e-10, 5.007864e+01, -4.137030e-02
2.114000e+08, 4.727700e-02, 3.825002e-03, 2.072580e-02, 8.065676e-01, 1.396197e+00, 2.532716e-01, -1.538184e+00, -4.435714e-01, 3.748038e-10, 3.805515e-10, 2.391339e-10, 3.262722e-10, 5.006760e+01, -4.142365e-02
2.152000e+08, 4.806646e-02, 3.874293e-03, 2.075722e-02, 8.068019e-01, 1.387248e+00, 2.441855e-01, -1.543893e+00, -4.513615e-01, 3.704416e-10, 3.684206e-10, 2.532454e-10, 3.268984e-10, 5.005584e+01, -4.149348e-02
2.190000e+08, 4.884328e-02, 3.922961e-03, 2.079678e-02, 8.070352e-01, 1.378404e+00, 2.353890e-01, -1.549940e+00, -4.591666e-01, 3.659126e-10, 3.566624e-10, 2.672127e-10, 3.275056e-10, 5.004337e+01, -4.157853e-02
2.228000e+08, 4.960764e-02, 3.971119e-03, 2.084397e-02, 8.072671e-01, 1.369667e+00, 2.268733e-01, -1.556320e+00, -4.669861e-01, 3.612628e-10, 3.453822e-10, 2.810136e-10, 3.280943e-10, 5.003017e+01, -4.167755e-02
2.266000e+08, 5.035975e-02, 4.018872e-03, 2.089835e-02, 8.074976e-01, 1.361042e+00, 2.186270e-01, -1.563029e+00, -4.748198e-01, 3.565333e-10, 3.346627e-10, 2.946283e-10, 3.286653e-10, 5.001623e+01, -4.178935e-02
2.304000e+08, 5.109982e-02, 4.066319e-03, 2.095946e-02, 8.077264e-01, 1.352529e+00, 2.106365e-01, -1.570064e+00, -4.826670e-01, 3.517604e-10, 3.245654e-10, 3.080394e-10, 3.292191e-10, 5.000153e+01, -4.191277e-02
2.342000e+08, 5.182810e-02, 4.113552e-03, 2.102690e-02, 8.079533e-01, 1.344130e+00, 2.028872e-01, -1.577419e+00, -4.905275e-01, 3.469756e-10, 3.151336e-10, 3.212316e-10, 3.297561e-10, 4.998608e+01, -4.204668e-02
