Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 3.122773e-02, 8.125489e-01, 3.071935e-01, -3.248771e-01, 9.590279e-11, 2.677222e-10, 5.306762e+01, 1.890176e-02
2.038000e+08, 3.114672e-02, 8.124050e-01, 3.049037e-01, -3.312693e-01, 8.428500e-11, 2.672964e-10, 5.306171e+01, 1.871655e-02
2.076000e+08, 3.106961e-02, 8.122607e-01, 3.028913e-01, -3.376513e-01, 7.300791e-11, 2.668840e-10, 5.305589e+01, 1.855074e-02
2.114000e+08, 3.099634e-02, 8.121161e-01, 3.011482e-01, -3.440234e-01, 6.205588e-11, 2.664843e-10, 5.305017e+01, 1.840369e-02
2.152000e+08, 3.092687e-02, 8.119712e-01, 2.996665e-01, -3.503860e-01, 5.141508e-11, 2.660967e-10, 5.304457e+01, 1.827477e-02
2.190000e+08, 3.086115e-02, 8.118262e-01, 2.984389e-01, -3.567394e-01, 4.107330e-11, 2.657204e-10, 5.303909e+01, 1.816342e-02
2.228000e+08, 3.079916e-02, 8.116812e-01, 2.974583e-01, -3.630837e-01, 3.101981e-11, 2.653549e-10, 5.303375e+01, 1.806909e-02
2.266000e+08, 3.074089e-02, 8.115361e-01, 2.967176e-01, -3.694194e-01, 2.124529e-11, 2.649996e-10, 5.302854e+01, 1.799128e-02
2.304000e+08, 3.068634e-02, 8.113912e-01, 2.962104e-01, -3.757465e-01, 1.174167e-11, 2.646542e-10, 5.302349e+01, 1.792951e-02
2.342000e+08, 3.063550e-02, 8.112464e-01, 2.959300e-01, -3.820654e-01, 2.502041e-12, 2.643181e-10, 5.301860e+01, 1.788332e-02
2.380000e+08, 3.058841e-02, 8.111019e-01, 2.958703e-01, -3.883763e-01, -6.479416e-12, 2.639910e-10, 5.301387e+01, 1.785228e-02
2.418000e+08, 3.054508e-02, 8.109578e-01, 2.960250e-01, -3.946794e-01, -1.520756e-11, 2.636726e-10, 5.300933e+01, 1.783600e-02
2.456000e+08, 3.050555e-02, 8.108140e-01, 2.963881e-01, -4.009749e-01, -2.368634e-11, 2.633625e-10, 5.300498e+01, 1.783408e-02
2.494000e+08, 3.046984e-02, 8.106708e-01, 2.969536e-01, -4.072630e-01, -3.191892e-11, 2.630605e-10, 5.300082e+01, 1.784615e-02
2.532000e+08, 3.043800e-02, 8.105281e-01, 2.977157e-01, -4.135438e-01, -3.990769e-11, 2.627663e-10, 5.299687e+01, 1.787185e-02
2.570000e+08, 3.041008e-02, 8.103861e-01, 2.986686e-01, -4.198176e-01, -4.765441e-11, 2.624796e-10, 5.299313e+01, 1.791086e-02
2.608000e+08, 3.038613e-02, 8.102447e-01, 2.998064e-01, -4.260846e-01, -5.516021e-11, 2.622002e-10, 5.298962e+01, 1.796284e-02
2.646000e+08, 3.036620e-02, 8.101042e-01, 3.011234e-01, -4.323450e-01, -6.242571e-11, 2.619279e-10, 5.298635e+01, 1.802749e-02
2.684000e+08, 3.035035e-02, 8.099645e-01, 3.026139e-01, -4.385988e-01, -6.945106e-11, 2.616626e-10, 5.298331e+01, 1.810450e-02
2.722000e+08, 3.033864e-02, 8.098257e-01, 3.042721e-01, -4.448463e-01, -7.623600e-11, 2.614041e-10, 5.298053e+01, 1.819358e-02
2.760000e+08, 3.033113e-02, 8.096879e-01, 3.060923e-01, -4.510876e-01, -8.277992e-11, 2.611522e-10, 5.297801e+01, 1.829445e-02
