Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 8.660559e-02, 7.636936e-01, 2.904969e+00, -5.234205e-01, 1.809756e-11, 4.271625e-10, 3.379002e+01, 4.088855e-02
2.038000e+08, 8.644553e-02, 7.634861e-01, 2.904537e+00, -5.336195e-01, 2.228068e-11, 4.264806e-10, 3.380121e+01, 4.088497e-02
2.076000e+08, 8.628223e-02, 7.632799e-01, 2.904005e+00, -5.438022e-01, 2.626274e-11, 4.258216e-10, 3.381275e+01, 4.089641e-02
2.114000e+08, 8.611551e-02, 7.630752e-01, 2.903378e+00, -5.539691e-01, 3.005471e-11, 4.251844e-10, 3.382465e+01, 4.092186e-02
2.152000e+08, 8.594521e-02, 7.628722e-01, 2.902660e+00, -5.641209e-01, 3.366652e-11, 4.245684e-10, 3.383692e+01, 4.096037e-02
2.190000e+08, 8.577116e-02, 7.626711e-01, 2.901856e+00, -5.742579e-01, 3.710716e-11, 4.239725e-10, 3.384956e+01, 4.101101e-02
2.228000e+08, 8.559321e-02, 7.624721e-01, 2.900970e+00, -5.843807e-01, 4.038479e-11, 4.233962e-10, 3.386258e+01, 4.107291e-02
2.266000e+08, 8.541121e-02, 7.622752e-01, 2.900006e+00, -5.944898e-01, 4.350679e-11, 4.228388e-10, 3.387598e+01, 4.114524e-02
2.304000e+08, 8.522502e-02, 7.620807e-01, 2.898967e+00, -6.045855e-01, 4.647984e-11, 4.222997e-10, 3.388977e+01, 4.122720e-02
2.342000e+08, 8.503452e-02, 7.618887e-01, 2.897858e+00, -6.146684e-01, 4.931001e-11, 4.217784e-10, 3.390394e+01, 4.131800e-02
2.380000e+08, 8.483956e-02, 7.616994e-01, 2.896680e+00, -6.247388e-01, 5.200280e-11, 4.212744e-10, 3.391852e+01, 4.141692e-02
2.418000e+08, 8.464004e-02, 7.615130e-01, 2.895439e+00, -6.347972e-01, 5.456315e-11, 4.207874e-10, 3.393349e+01, 4.152322e-02
2.456000e+08, 8.443584e-02, 7.613294e-01, 2.894136e+00, -6.448440e-01, 5.699557e-11, 4.203168e-10, 3.394887e+01, 4.163621e-02
2.494000e+08, 8.422685e-02, 7.611490e-01, 2.892775e+00, -6.548795e-01, 5.930410e-11, 4.198624e-10, 3.396466e+01, 4.175522e-02
2.532000e+08, 8.401297e-02, 7.609717e-01, 2.891359e+00, -6.649042e-01, 6.149240e-11, 4.194238e-10, 3.398085e+01, 4.187959e-02
2.570000e+08, 8.379410e-02, 7.607978e-01, 2.889891e+00, -6.749184e-01, 6.356375e-11, 4.190007e-10, 3.399746e+01, 4.200867e-02
2.608000e+08, 8.357014e-02, 7.606274e-01, 2.888373e+00, -6.849225e-01, 6.552109e-11, 4.185929e-10, 3.401449e+01, 4.214186e-02
2.646000e+08, 8.334100e-02, 7.604605e-01, 2.886809e+00, -6.949168e-01, 6.736706e-11, 4.182000e-10, 3.403193e+01, 4.227853e-02
2.684000e+08, 8.310660e-02, 7.602972e-01, 2.885200e+00, -7.049018e-01, 6.910399e-11, 4.178219e-10, 3.404980e+01, 4.241810e-02
2.722000e+08, 8.286685e-02, 7.601378e-01, 2.883550e+00, -7.148778e-01, 7.073396e-11, 4.174583e-10, 3.406809e+01, 4.255999e-02
2.760000e+08, 8.262169e-02, 7.599822e-01, 2.881862e+00, -7.248451e-01, 7.225879e-11, 4.171089e-10, 3.408681e+01, 4.270363e-02
2.798000e+08, 8.237103e-02, 7.598306e-01, 2.880136e+00, -7.348040e-01, 7.368006e-11, 4.167736e-10, 3.410596e+01, 4.284846e-02
