Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 3.840121e-02, 8.091937e-01, 2.557128e-01, -4.300120e-01, 9.486422e-11, 3.566747e-10, 5.385823e+01, 1.945227e-02
2.038000e+08, 3.817300e-02, 8.088739e-01, 2.534479e-01, -4.385280e-01, 7.729943e-11, 3.558133e-10, 5.383678e+01, 1.916882e-02
2.076000e+08, 3.795366e-02, 8.085546e-01, 2.516022e-01, -4.470234e-01, 6.014897e-11, 3.549789e-10, 5.381579e+01, 1.892259e-02
2.114000e+08, 3.774325e-02, 8.082363e-01, 2.501661e-01, -4.554989e-01, 4.341447e-11, 3.541704e-10, 5.379529e+01, 1.871228e-02
2.152000e+08, 3.754184e-02, 8.079190e-01, 2.491296e-01, -4.639551e-01, 2.710014e-11, 3.533865e-10, 5.377532e+01, 1.853667e-02
2.190000e+08, 3.734954e-02, 8.076030e-01, 2.484825e-01, -4.723926e-01, 1.121257e-11, 3.526262e-10, 5.375590e+01, 1.839458e-02
2.228000e+08, 3.716645e-02, 8.072885e-01, 2.482148e-01, -4.808120e-01, -4.239488e-12, 3.518886e-10, 5.373706e+01, 1.828487e-02
2.266000e+08, 3.699273e-02, 8.069758e-01, 2.483160e-01, -4.892137e-01, -1.924533e-11, 3.511728e-10, 5.371885e+01, 1.820646e-02
2.304000e+08, 3.682851e-02, 8.066651e-01, 2.487755e-01, -4.975983e-01, -3.379250e-11, 3.504781e-10, 5.370128e+01, 1.815827e-02
2.342000e+08, 3.667395e-02, 8.063565e-01, 2.495824e-01, -5.059664e-01, -4.786704e-11, 3.498039e-10, 5.368440e+01, 1.813929e-02
2.380000e+08, 3.652924e-02, 8.060503e-01, 2.507252e-01, -5.143183e-01, -6.145372e-11, 3.491495e-10, 5.366821e+01, 1.814851e-02
2.418000e+08, 3.639453e-02, 8.057467e-01, 2.521925e-01, -5.226547e-01, -7.453627e-11, 3.485144e-10, 5.365276e+01, 1.818497e-02
2.456000e+08, 3.627003e-02, 8.054458e-01, 2.539721e-01, -5.309758e-01, -8.709764e-11, 3.478982e-10, 5.363807e+01, 1.824772e-02
2.494000e+08, 3.615590e-02, 8.051479e-01, 2.560517e-01, -5.392823e-01, -9.912029e-11, 3.473002e-10, 5.362417e+01, 1.833582e-02
2.532000e+08, 3.605235e-02, 8.048531e-01, 2.584183e-01, -5.475745e-01, -1.105864e-10, 3.467203e-10, 5.361108e+01, 1.844837e-02
