Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 5.810961e-02, 8.029356e-01, -1.616980e+00, -3.878214e-01, 4.333805e-10, 2.834908e-10, 4.973334e+01, -1.159660e-01
2.038000e+08, 5.849393e-02, 8.029840e-01, -1.627328e+00, -3.945900e-01, 4.349263e-10, 2.841431e-10, 4.967171e+01, -1.166697e-01
2.076000e+08, 5.889028e-02, 8.030326e-01, -1.637712e+00, -4.013743e-01, 4.362179e-10, 2.847677e-10, 4.960912e+01, -1.173838e-01
2.114000e+08, 5.929805e-02, 8.030812e-01, -1.648127e+00, -4.081734e-01, 4.372751e-10, 2.853663e-10, 4.954557e+01, -1.181067e-01
2.152000e+08, 5.971669e-02, 8.031298e-01, -1.658567e+00, -4.149868e-01, 4.381162e-10, 2.859406e-10, 4.948109e+01, -1.188368e-01
2.190000e+08, 6.014565e-02, 8.031783e-01, -1.669028e+00, -4.218140e-01, 4.387583e-10, 2.864922e-10, 4.941567e+01, -1.195729e-01
2.228000e+08, 6.058444e-02, 8.032268e-01, -1.679504e+00, -4.286543e-01, 4.392173e-10, 2.870224e-10, 4.934934e+01, -1.203135e-01
2.266000e+08, 6.103258e-02, 8.032750e-01, -1.689991e+00, -4.355073e-01, 4.395081e-10, 2.875324e-10, 4.928209e+01, -1.210574e-01
2.304000e+08, 6.148962e-02, 8.033230e-01, -1.700484e+00, -4.423724e-01, 4.396444e-10, 2.880235e-10, 4.921396e+01, -1.218034e-01
2.342000e+08, 6.195514e-02, 8.033707e-01, -1.710981e+00, -4.492493e-01, 4.396392e-10, 2.884967e-10, 4.914494e+01, -1.225503e-01
2.380000e+08, 6.242873e-02, 8.034181e-01, -1.721478e+00, -4.561375e-01, 4.395044e-10, 2.889530e-10, 4.907506e+01, -1.232971e-01
2.418000e+08, 6.291001e-02, 8.034650e-01, -1.731972e+00, -4.630366e-01, 4.392511e-10, 2.893932e-10, 4.900432e+01, -1.240426e-01
2.456000e+08, 6.339861e-02, 8.035114e-01, -1.742459e+00, -4.699461e-01, 4.388897e-10, 2.898182e-10, 4.893274e+01, -1.247860e-01
2.494000e+08, 6.389419e-02, 8.035574e-01, -1.752938e+00, -4.768659e-01, 4.384297e-10, 2.902287e-10, 4.886033e+01, -1.255262e-01
2.532000e+08, 6.439640e-02, 8.036028e-01, -1.763406e+00, -4.837954e-01, 4.378801e-10, 2.906254e-10, 4.878711e+01, -1.262623e-01
2.570000e+08, 6.490492e-02, 8.036475e-01, -1.773861e+00, -4.907344e-01, 4.372492e-10, 2.910090e-10, 4.871309e+01, -1.269934e-01
2.608000e+08, 6.541945e-02, 8.036916e-01, -1.784301e+00, -4.976826e-01, 4.365447e-10, 2.913801e-10, 4.863829e+01, -1.277187e-01
2.646000e+08, 6.593969e-02, 8.037350e-01, -1.794724e+00, -5.046396e-01, 4.357736e-10, 2.917391e-10, 4.856272e+01, -1.284373e-01
2.684000e+08, 6.646536e-02, 8.037777e-01, -1.805129e+00, -5.116052e-01, 4.349426e-10, 2.920867e-10, 4.848640e+01, -1.291485e-01
2.722000e+08, 6.699617e-02, 8.038195e-01, -1.815513e+00, -5.185791e-01, 4.340578e-10, 2.924232e-10, 4.840935e+01, -1.298515e-01
2.760000e+08, 6.753187e-02, 8.038605e-01, -1.825877e+00, -5.255610e-01, 4.331249e-10, 2.927492e-10, 4.833157e+01, -1.305455e-01
2.798000e+08, 6.807219e-02, 8.039007e-01, -1.836218e+00, -5.325507e-01, 4.321492e-10, 2.930649e-10, 4.825309e+01, -1.312299e-01
2.836000e+08, 6.861689e-02, 8.039399e-01, -1.846536e+00, -5.395480e-01, 4.311355e-10, 2.933708e-10, 4.817392e+01, -1.319040e-01
2.874000e+08, 6.916573e-02, 8.039782e-01, -1.856830e+00, -5.465525e-01, 4.300884e-10, 2.936673e-10, 4.809408e+01, -1.325670e-01
