Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 4.659514e-02, 1.331565e-03, 1.581823e-02, 7.947379e-01, 1.425771e+00, 1.389514e+00, 2.587325e-01, -3.808177e-01, 3.009734e-10, 4.235370e-11, -4.121661e-10, 3.013867e-10, 5.155289e+01, 8.096207e-03
2.038000e+08, 4.738050e-02, 1.340316e-03, 1.607330e-02, 7.948641e-01, 1.418585e+00, 1.388503e+00, 2.685734e-01, -3.880136e-01, 2.970659e-10, 8.827746e-12, -3.828504e-10, 3.016261e-10, 5.157407e+01, 8.532297e-03
2.076000e+08, 4.815772e-02, 1.348025e-03, 1.632953e-02, 7.949902e-01, 1.411492e+00, 1.388292e+00, 2.777144e-01, -3.952153e-01, 2.932791e-10, -2.723026e-11, -3.555243e-10, 3.018589e-10, 5.159541e+01, 8.955900e-03
2.114000e+08, 4.892685e-02, 1.354673e-03, 1.658665e-02, 7.951162e-01, 1.404490e+00, 1.388942e+00, 2.862029e-01, -4.024225e-01, 2.896103e-10, -6.606701e-11, -3.300565e-10, 3.020854e-10, 5.161689e+01, 9.367514e-03
2.152000e+08, 4.968791e-02, 1.360251e-03, 1.684445e-02, 7.952418e-01, 1.397575e+00, 1.390520e+00, 2.940834e-01, -4.096351e-01, 2.860573e-10, -1.079014e-10, -3.063235e-10, 3.023057e-10, 5.163850e+01, 9.767616e-03
2.190000e+08, 5.044093e-02, 1.364758e-03, 1.710271e-02, 7.953671e-01, 1.390745e+00, 1.393096e+00, 3.013972e-01, -4.168530e-01, 2.826173e-10, -1.528988e-10, -2.842091e-10, 3.025200e-10, 5.166025e+01, 1.015666e-02
2.228000e+08, 5.118594e-02, 1.368206e-03, 1.736124e-02, 7.954919e-01, 1.383997e+00, 1.396747e+00, 3.081830e-01, -4.240760e-01, 2.792877e-10, -2.011399e-10, -2.636048e-10, 3.027285e-10, 5.168211e+01, 1.053508e-02
2.266000e+08, 5.192298e-02, 1.370621e-03, 1.761991e-02, 7.956161e-01, 1.377329e+00, 1.401549e+00, 3.144768e-01, -4.313040e-01, 2.760658e-10, -2.525861e-10, -2.444091e-10, 3.029313e-10, 5.170408e+01, 1.090330e-02
2.304000e+08, 5.265208e-02, 1.372046e-03, 1.787855e-02, 7.957397e-01, 1.370737e+00, 1.407580e+00, 3.203124e-01, -4.385368e-01, 2.729488e-10, -3.070486e-10, -2.265273e-10, 3.031285e-10, 5.172616e+01, 1.126172e-02
2.342000e+08, 5.337327e-02, 1.372538e-03, 1.813706e-02, 7.958625e-01, 1.364220e+00, 1.414911e+00, 3.257210e-01, -4.457743e-01, 2.699340e-10, -3.641685e-10, -2.098714e-10, 3.033203e-10, 5.174833e+01, 1.161073e-02
