Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 1.128129e-01, 9.768439e-01, -2.656404e+00, -3.927979e-01, -1.046529e-10, 3.100150e-10, 4.884097e+01, 1.061819e-01
2.038000e+08, 1.138821e-01, 9.767518e-01, -2.653905e+00, -4.001999e-01, -9.716150e-11, 3.098777e-10, 4.892021e+01, 1.077106e-01
2.076000e+08, 1.149494e-01, 9.766668e-01, -2.651585e+00, -4.075985e-01, -9.000218e-11, 3.097674e-10, 4.900006e+01, 1.092104e-01
2.114000e+08, 1.160147e-01, 9.765888e-01, -2.649436e+00, -4.149946e-01, -8.315356e-11, 3.096830e-10, 4.908052e+01, 1.106818e-01
2.152000e+08, 1.170779e-01, 9.765177e-01, -2.647451e+00, -4.223886e-01, -7.659515e-11, 3.096236e-10, 4.916157e+01, 1.121257e-01
2.190000e+08, 1.181392e-01, 9.764531e-01, -2.645622e+00, -4.297812e-01, -7.030738e-11, 3.095882e-10, 4.924322e+01, 1.135425e-01
2.228000e+08, 1.191984e-01, 9.763950e-01, -2.643944e+00, -4.371730e-01, -6.427158e-11, 3.095757e-10, 4.932547e+01, 1.149328e-01
2.266000e+08, 1.202557e-01, 9.763430e-01, -2.642409e+00, -4.445644e-01, -5.846994e-11, 3.095852e-10, 4.940832e+01, 1.162972e-01
2.304000e+08, 1.213111e-01, 9.762970e-01, -2.641013e+00, -4.519561e-01, -5.288554e-11, 3.096153e-10, 4.949178e+01, 1.176362e-01
2.342000e+08, 1.223646e-01, 9.762564e-01, -2.639750e+00, -4.593485e-01, -4.750227e-11, 3.096650e-10, 4.957584e+01, 1.189502e-01
2.380000e+08, 1.234164e-01, 9.762212e-01, -2.638616e+00, -4.667421e-01, -4.230487e-11, 3.097329e-10, 4.966053e+01, 1.202396e-01
