Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 8.028113e-02, 7.848386e-01, 2.911807e+00, -4.832888e-01, 1.766997e-10, 3.831688e-10, 3.420155e+01, 3.679176e-02
2.038000e+08, 8.002170e-02, 7.848379e-01, 2.907588e+00, -4.924373e-01, 1.758192e-10, 3.831782e-10, 3.422432e+01, 3.733190e-02
2.076000e+08, 7.975793e-02, 7.848376e-01, 2.903390e+00, -5.015861e-01, 1.749358e-10, 3.831873e-10, 3.424744e+01, 3.786168e-02
2.114000e+08, 7.948983e-02, 7.848378e-01, 2.899213e+00, -5.107352e-01, 1.740491e-10, 3.831962e-10, 3.427089e+01, 3.838102e-02
2.152000e+08, 7.921743e-02, 7.848384e-01, 2.895057e+00, -5.198844e-01, 1.731585e-10, 3.832051e-10, 3.429467e+01, 3.888985e-02
2.190000e+08, 7.894074e-02, 7.848395e-01, 2.890923e+00, -5.290338e-01, 1.722634e-10, 3.832138e-10, 3.431877e+01, 3.938812e-02
2.228000e+08, 7.865979e-02, 7.848411e-01, 2.886810e+00, -5.381835e-01, 1.713632e-10, 3.832227e-10, 3.434319e+01, 3.987574e-02
2.266000e+08, 7.837459e-02, 7.848431e-01, 2.882719e+00, -5.473334e-01, 1.704576e-10, 3.832317e-10, 3.436794e+01, 4.035266e-02
2.304000e+08, 7.808516e-02, 7.848457e-01, 2.878649e+00, -5.564834e-01, 1.695460e-10, 3.832409e-10, 3.439300e+01, 4.081881e-02
2.342000e+08, 7.779152e-02, 7.848488e-01, 2.874601e+00, -5.656337e-01, 1.686278e-10, 3.832503e-10, 3.441836e+01, 4.127412e-02
2.380000e+08, 7.749369e-02, 7.848524e-01, 2.870575e+00, -5.747843e-01, 1.677027e-10, 3.832601e-10, 3.444404e+01, 4.171852e-02
2.418000e+08, 7.719168e-02, 7.848565e-01, 2.866570e+00, -5.839350e-01, 1.667700e-10, 3.832702e-10, 3.447001e+01, 4.215196e-02
2.456000e+08, 7.688552e-02, 7.848612e-01, 2.862589e+00, -5.930860e-01, 1.658294e-10, 3.832808e-10, 3.449628e+01, 4.257437e-02
2.494000e+08, 7.657521e-02, 7.848664e-01, 2.858629e+00, -6.022373e-01, 1.648802e-10, 3.832918e-10, 3.452285e+01, 4.298569e-02
2.532000e+08, 7.626078e-02, 7.848722e-01, 2.854693e+00, -6.113888e-01, 1.639219e-10, 3.833033e-10, 3.454971e+01, 4.338585e-02
2.570000e+08, 7.594225e-02, 7.848785e-01, 2.850779e+00, -6.205406e-01, 1.629541e-10, 3.833154e-10, 3.457686e+01, 4.377479e-02
