Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 3.914315e-02, 7.353585e-04, 1.203088e-02, 7.875497e-01, 1.403843e+00, -3.347552e-01, -1.565266e+00, -3.499557e-01, 2.271823e-10, 1.321172e-09, 5.254552e-10, 2.711705e-10, 5.000665e+01, -2.406024e-02
2.038000e+08, 3.980524e-02, 7.580859e-04, 1.198062e-02, 7.876690e-01, 1.398418e+00, -3.662996e-01, -1.577812e+00, -3.564302e-01, 2.247934e-10, 1.436267e-09, 5.417802e-10, 2.715099e-10, 4.999160e+01, -2.395951e-02
2.076000e+08, 4.046258e-02, 7.810446e-04, 1.193430e-02, 7.877887e-01, 1.393051e+00, -4.005921e-01, -1.590747e+00, -3.629128e-01, 2.224930e-10, 1.560792e-09, 5.579039e-10, 2.718384e-10, 4.997620e+01, -2.386272e-02
2.114000e+08, 4.111518e-02, 8.038735e-04, 1.189173e-02, 7.879087e-01, 1.387739e+00, -4.378577e-01, -1.604068e+00, -3.694032e-01, 2.202763e-10, 1.692384e-09, 5.738293e-10, 2.721567e-10, 4.996046e+01, -2.376917e-02
2.152000e+08, 4.176301e-02, 8.260684e-04, 1.185275e-02, 7.880288e-01, 1.382480e+00, -4.782652e-01, -1.617769e+00, -3.759013e-01, 2.181388e-10, 1.826396e-09, 5.895588e-10, 2.724654e-10, 4.994438e+01, -2.367825e-02
2.190000e+08, 4.240607e-02, 8.469645e-04, 1.181722e-02, 7.881491e-01, 1.377271e+00, -5.218725e-01, -1.631845e+00, -3.824067e-01, 2.160764e-10, 1.955233e-09, 6.050940e-10, 2.727649e-10, 4.992796e+01, -2.358933e-02
2.228000e+08, 4.304435e-02, 8.657435e-04, 1.178502e-02, 7.882694e-01, 1.372112e+00, -5.685558e-01, -1.646292e+00, -3.889193e-01, 2.140851e-10, 2.068122e-09, 6.204359e-10, 2.730557e-10, 4.991120e+01, -2.350184e-02
2.266000e+08, 4.367786e-02, 8.814865e-04, 1.175604e-02, 7.883897e-01, 1.367001e+00, -6.179345e-01, -1.661106e+00, -3.954388e-01, 2.121613e-10, 2.151902e-09, 6.355850e-10, 2.733382e-10, 4.989410e+01, -2.341521e-02
2.304000e+08, 4.430658e-02, 8.932866e-04, 1.173017e-02, 7.885099e-01, 1.361935e+00, -6.693136e-01, -1.676281e+00, -4.019650e-01, 2.103017e-10, 2.193260e-09, 6.505407e-10, 2.736128e-10, 4.987666e+01, -2.332891e-02
2.342000e+08, 4.493051e-02, 9.004149e-04, 1.170733e-02, 7.886298e-01, 1.356914e+00, -7.216801e-01, -1.691813e+00, -4.084978e-01, 2.085031e-10, 2.182210e-09, 6.653020e-10, 2.738799e-10, 4.985889e+01, -2.324242e-02
2.380000e+08, 4.554965e-02, 9.024980e-04, 1.168746e-02, 7.887495e-01, 1.351936e+00, -7.737827e-01, -1.707698e+00, -4.150370e-01, 2.067626e-10, 2.115559e-09, 6.798668e-10, 2.741396e-10, 4.984077e+01, -2.315523e-02
2.418000e+08, 4.616400e-02, 8.996365e-04, 1.167048e-02, 7.888688e-01, 1.346999e+00, -8.242940e-01, -1.723931e+00, -4.215824e-01, 2.050774e-10, 1.998520e-09, 6.942325e-10, 2.743924e-10, 4.982232e+01, -2.306688e-02
2.456000e+08, 4.677357e-02, 8.924025e-04, 1.165636e-02, 7.889877e-01, 1.342103e+00, -8.720109e-01, -1.740506e+00, -4.281338e-01, 2.034449e-10, 1.843419e-09, 7.083955e-10, 2.746383e-10, 4.980354e+01, -2.297688e-02
2.494000e+08, 4.737834e-02, 8.817136e-04, 1.164504e-02, 7.891061e-01, 1.337245e+00, -9.160246e-01, -1.757420e+00, -4.346911e-01, 2.018627e-10, 1.666136e-09, 7.223514e-10, 2.748778e-10, 4.978443e+01, -2.288479e-02
2.532000e+08, 4.797832e-02, 8.686389e-04, 1.163651e-02, 7.892239e-01, 1.332425e+00, -9.558054e-01, -1.774667e+00, -4.412541e-01, 2.003286e-10, 1.482145e-09, 7.360952e-10, 2.751109e-10, 4.976499e+01, -2.279017e-02
2.570000e+08, 4.857351e-02, 8.542150e-04, 1.163072e-02, 7.893411e-01, 1.327642e+00, -9.911933e-01, -1.792242e+00, -4.478227e-01, 1.988403e-10, 1.303782e-09, 7.496209e-10, 2.753379e-10, 4.974523e+01, -2.269260e-02
2.608000e+08, 4.916391e-02, 8.393233e-04, 1.162768e-02, 7.894575e-01, 1.322895e+00, -1.022323e+00, -1.810140e+00, -4.543967e-01, 1.973960e-10, 1.139243e-09, 7.629218e-10, 2.755589e-10, 4.972514e+01, -2.259166e-02
2.646000e+08, 4.974954e-02, 8.246398e-04, 1.162738e-02, 7.895732e-01, 1.318182e+00, -1.049523e+00, -1.828356e+00, -4.609760e-01, 1.959937e-10, -8.375730e-08, 7.759905e-10, 2.757742e-10, 4.970474e+01, -2.248694e-02
2.684000e+08, 5.033039e-02, 8.461821e-04, 1.162981e-02, 7.896881e-01, 1.313502e+00, 9.502748e-01, -1.846883e+00, -4.675604e-01, 1.946316e-10, 1.757457e-09, 7.888186e-10, 2.759837e-10, 4.968402e+01, -2.237806e-02
2.722000e+08, 5.090646e-02, 8.544456e-04, 1.163499e-02, 7.898020e-01, 1.308855e+00, 9.083136e-01, -1.865717e+00, -4.741498e-01, 1.933080e-10, 1.649894e-09, 8.013975e-10, 2.761877e-10, 4.966299e+01, -2.226463e-02
2.760000e+08, 5.147776e-02, 8.617585e-04, 1.164292e-02, 7.899150e-01, 1.304240e+00, 8.689205e-01, -1.884852e+00, -4.807441e-01, 1.920214e-10, 1.552993e-09, 8.137174e-10, 2.763864e-10, 4.964166e+01, -2.214629e-02
2.798000e+08, 5.204430e-02, 8.684085e-04, 1.165364e-02, 7.900269e-01, 1.299655e+00, 8.318411e-01, -1.904280e+00, -4.873431e-01, 1.907703e-10, 1.466607e-09, 8.257682e-10, 2.765797e-10, 4.962003e+01, -2.202266e-02
2.836000e+08, 5.260609e-02, 8.746152e-04, 1.166716e-02, 7.901377e-01, 1.295100e+00, 7.968242e-01, -1.923996e+00, -4.939468e-01, 1.895532e-10, 1.390088e-09, 8.375391e-10, 2.767678e-10, 4.959810e+01, -2.189339e-02
2.874000e+08, 5.316312e-02, 8.805429e-04, 1.168352e-02, 7.902474e-01, 1.290574e+00, 7.636343e-01, -1.943993e+00, -5.005549e-01, 1.883688e-10, 1.322554e-09, 8.490191e-10, 2.769508e-10, 4.957588e+01, -2.175814e-02
2.912000e+08, 5.371540e-02, 8.863135e-04, 1.170275e-02, 7.903559e-01, 1.286077e+00, 7.320569e-01, -1.964265e+00, -5.071674e-01, 1.872159e-10, 1.263048e-09, 8.601963e-10, 2.771287e-10, 4.955338e+01, -2.161656e-02
2.950000e+08, 5.426295e-02, 8.920157e-04, 1.172490e-02, 7.904631e-01, 1.281607e+00, 7.019003e-01, -1.984803e+00, -5.137842e-01, 1.860931e-10, 1.210634e-09, 8.710588e-10, 2.773018e-10, 4.953060e+01, -2.146833e-02
2.988000e+08, 5.480576e-02, 8.977138e-04, 1.175001e-02, 7.905691e-01, 1.277164e+00, 6.729950e-01, -2.005600e+00, -5.204050e-01, 1.849994e-10, 1.164439e-09, 8.815943e-10, 2.774700e-10, 4.950754e+01, -2.131311e-02
3.026000e+08, 5.534385e-02, 9.034535e-04, 1.177812e-02, 7.906736e-01, 1.272747e+00, 6.451928e-01, -2.026649e+00, -5.270300e-01, 1.839337e-10, 1.123679e-09, 8.917903e-10, 2.776334e-10, 4.948423e+01, -2.115060e-02
3.064000e+08, 5.587723e-02, 9.092667e-04, 1.180931e-02, 7.907768e-01, 1.268355e+00, 6.183637e-01, -2.047942e+00, -5.336588e-01, 1.828948e-10, 1.087655e-09, 9.016343e-10, 2.777920e-10, 4.946065e+01, -2.098048e-02
3.102000e+08, 5.640589e-02, 9.151753e-04, 1.184361e-02, 7.908785e-01, 1.263988e+00, 5.923947e-01, -2.069469e+00, -5.402913e-01, 1.818819e-10, 1.055760e-09, 9.111136e-10, 2.779460e-10, 4.943682e+01, -2.080245e-02
3.140000e+08, 5.692986e-02, 9.211936e-04, 1.188109e-02, 7.909787e-01, 1.259646e+00, 5.671873e-01, -2.091223e+00, -5.469276e-01, 1.808939e-10, 1.027464e-09, 9.202158e-10, 2.780955e-10, 4.941274e+01, -2.061622e-02
3.178000e+08, 5.744914e-02, 9.273302e-04, 1.192180e-02, 7.910774e-01, 1.255327e+00, 5.426554e-01, -2.113194e+00, -5.535675e-01, 1.799300e-10, 1.002311e-09, 9.289285e-10, 2.782403e-10, 4.938843e+01, -2.042148e-02
