Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 1.978792e-02, 8.011452e-01, 4.020872e-01, -2.869093e-01, -2.449024e-10, 2.270067e-10, 5.185464e+01, 1.549243e-02
2.038000e+08, 1.996965e-02, 8.011570e-01, 4.079345e-01, -2.923294e-01, -2.356175e-10, 2.270221e-10, 5.186721e+01, 1.584948e-02
2.076000e+08, 2.015257e-02, 8.011690e-01, 4.135601e-01, -2.977498e-01, -2.267011e-10, 2.270365e-10, 5.187993e+01, 1.620266e-02
2.114000e+08, 2.033663e-02, 8.011813e-01, 4.189729e-01, -3.031705e-01, -2.181383e-10, 2.270499e-10, 5.189280e+01, 1.655213e-02
2.152000e+08, 2.052177e-02, 8.011937e-01, 4.241812e-01, -3.085916e-01, -2.099146e-10, 2.270625e-10, 5.190581e+01, 1.689799e-02
2.190000e+08, 2.070794e-02, 8.012063e-01, 4.291931e-01, -3.140130e-01, -2.020166e-10, 2.270743e-10, 5.191897e+01, 1.724038e-02
2.228000e+08, 2.089509e-02, 8.012191e-01, 4.340165e-01, -3.194346e-01, -1.944313e-10, 2.270853e-10, 5.193226e+01, 1.757940e-02
2.266000e+08, 2.108318e-02, 8.012321e-01, 4.386587e-01, -3.248565e-01, -1.871463e-10, 2.270957e-10, 5.194569e+01, 1.791518e-02
2.304000e+08, 2.127216e-02, 8.012453e-01, 4.431271e-01, -3.302787e-01, -1.801499e-10, 2.271055e-10, 5.195925e+01, 1.824782e-02
2.342000e+08, 2.146199e-02, 8.012586e-01, 4.474283e-01, -3.357011e-01, -1.734306e-10, 2.271148e-10, 5.197294e+01, 1.857742e-02
2.380000e+08, 2.165265e-02, 8.012721e-01, 4.515692e-01, -3.411237e-01, -1.669775e-10, 2.271236e-10, 5.198676e+01, 1.890409e-02
2.418000e+08, 2.184409e-02, 8.012857e-01, 4.555560e-01, -3.465465e-01, -1.607804e-10, 2.271319e-10, 5.200070e+01, 1.922793e-02
2.456000e+08, 2.203628e-02, 8.012995e-01, 4.593948e-01, -3.519695e-01, -1.548290e-10, 2.271399e-10, 5.201476e+01, 1.954903e-02
2.494000e+08, 2.222920e-02, 8.013135e-01, 4.630915e-01, -3.573928e-01, -1.491138e-10, 2.271475e-10, 5.202894e+01, 1.986749e-02
2.532000e+08, 2.242283e-02, 8.013276e-01, 4.666517e-01, -3.628162e-01, -1.436254e-10, 2.271547e-10, 5.204325e+01, 2.018341e-02
2.570000e+08, 2.261714e-02, 8.013418e-01, 4.700809e-01, -3.682397e-01, -1.383550e-10, 2.271617e-10, 5.205766e+01, 2.049687e-02
2.608000e+08, 2.281211e-02, 8.013561e-01, 4.733843e-01, -3.736635e-01, -1.332939e-10, 2.271685e-10, 5.207220e+01, 2.080796e-02
2.646000e+08, 2.300772e-02, 8.013706e-01, 4.765669e-01, -3.790874e-01, -1.284337e-10, 2.271750e-10, 5.208684e+01, 2.111677e-02
2.684000e+08, 2.320397e-02, 8.013852e-01, 4.796334e-01, -3.845114e-01, -1.237666e-10, 2.271813e-10, 5.210159e+01, 2.142338e-02
2.722000e+08, 2.340083e-02, 8.013999e-01, 4.825884e-01, -3.899356e-01, -1.192846e-10, 2.271875e-10, 5.211646e+01, 2.172789e-02
2.760000e+08, 2.359829e-02, 8.014147e-01, 4.854365e-01, -3.953600e-01, -1.149805e-10, 2.271935e-10, 5.213143e+01, 2.203037e-02
2.798000e+08, 2.379635e-02, 8.014297e-01, 4.881818e-01, -4.007845e-01, -1.108469e-10, 2.271994e-10, 5.214651e+01, 2.233090e-02
2.836000e+08, 2.399500e-02, 8.014447e-01, 4.908284e-01, -4.062091e-01, -1.068768e-10, 2.272052e-10, 5.216169e+01, 2.262957e-02
2.874000e+08, 2.419423e-02, 8.014598e-01, 4.933802e-01, -4.116339e-01, -1.030636e-10, 2.272110e-10, 5.217698e+01, 2.292646e-02
2.912000e+08, 2.439405e-02, 8.014750e-01, 4.958409e-01, -4.170588e-01, -9.940064e-11, 2.272167e-10, 5.219237e+01, 2.322163e-02
2.950000e+08, 2.459444e-02, 8.014903e-01, 4.982142e-01, -4.224838e-01, -9.588172e-11, 2.272223e-10, 5.220786e+01, 2.351517e-02
2.988000e+08, 2.479542e-02, 8.015057e-01, 5.005035e-01, -4.279090e-01, -9.250072e-11, 2.272280e-10, 5.222346e+01, 2.380716e-02
3.026000e+08, 2.499697e-02, 8.015211e-01, 5.027121e-01, -4.333343e-01, -8.925172e-11, 2.272336e-10, 5.223915e+01, 2.409767e-02
3.064000e+08, 2.519911e-02, 8.015367e-01, 5.048430e-01, -4.387598e-01, -8.612904e-11, 2.272393e-10, 5.225495e+01, 2.438677e-02
3.102000e+08, 2.540185e-02, 8.015523e-01, 5.068995e-01, -4.441854e-01, -8.312715e-11, 2.272450e-10, 5.227085e+01, 2.467453e-02
3.140000e+08, 2.560518e-02, 8.015679e-01, 5.088842e-01, -4.496111e-01, -8.024070e-11, 2.272507e-10, 5.228685e+01, 2.496103e-02
3.178000e+08, 2.580911e-02, 8.015836e-01, 5.108000e-01, -4.550370e-01, -7.746453e-11, 2.272565e-10, 5.230295e+01, 2.524633e-02
3.216000e+08, 2.601366e-02, 8.015994e-01, 5.126496e-01, -4.604630e-01, -7.479362e-11, 2.272624e-10, 5.231915e+01, 2.553051e-02
3.254000e+08, 2.621883e-02, 8.016152e-01, 5.144354e-01, -4.658891e-01, -7.222314e-11, 2.272683e-10, 5.233545e+01, 2.581362e-02
3.292000e+08, 2.642465e-02, 8.016310e-01, 5.161598e-01, -4.713154e-01, -6.974840e-11, 2.272743e-10, 5.235186e+01, 2.609574e-02
3.330000e+08, 2.663111e-02, 8.016469e-01, 5.178251e-01, -4.767418e-01, -6.736485e-11, 2.272805e-10, 5.236836e+01, 2.637694e-02
3.368000e+08, 2.683823e-02, 8.016628e-01, 5.194335e-01, -4.821684e-01, -6.506810e-11, 2.272867e-10, 5.238497e+01, 2.665727e-02
