Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 9.441781e-02, 7.816036e-01, 3.031717e+00, -3.547882e-01, 2.314245e-10, 2.668809e-10, 3.313695e+01, 2.089002e-02
2.038000e+08, 9.417989e-02, 7.817368e-01, 3.026191e+00, -3.611603e-01, 2.276686e-10, 2.673899e-10, 3.315674e+01, 2.187942e-02
2.076000e+08, 9.394008e-02, 7.818709e-01, 3.020755e+00, -3.675445e-01, 2.240624e-10, 2.678800e-10, 3.317678e+01, 2.284542e-02
2.114000e+08, 9.369836e-02, 7.820058e-01, 3.015405e+00, -3.739405e-01, 2.205955e-10, 2.683527e-10, 3.319704e+01, 2.378877e-02
2.152000e+08, 9.345470e-02, 7.821415e-01, 3.010138e+00, -3.803477e-01, 2.172586e-10, 2.688088e-10, 3.321754e+01, 2.471015e-02
2.190000e+08, 9.320911e-02, 7.822778e-01, 3.004951e+00, -3.867658e-01, 2.140433e-10, 2.692495e-10, 3.323826e+01, 2.561022e-02
2.228000e+08, 9.296157e-02, 7.824146e-01, 2.999841e+00, -3.931944e-01, 2.109418e-10, 2.696757e-10, 3.325919e+01, 2.648958e-02
2.266000e+08, 9.271208e-02, 7.825520e-01, 2.994804e+00, -3.996332e-01, 2.079469e-10, 2.700881e-10, 3.328034e+01, 2.734880e-02
2.304000e+08, 9.246066e-02, 7.826898e-01, 2.989839e+00, -4.060819e-01, 2.050524e-10, 2.704874e-10, 3.330169e+01, 2.818844e-02
2.342000e+08, 9.220729e-02, 7.828279e-01, 2.984943e+00, -4.125401e-01, 2.022521e-10, 2.708745e-10, 3.332324e+01, 2.900898e-02
2.380000e+08, 9.195200e-02, 7.829663e-01, 2.980114e+00, -4.190075e-01, 1.995406e-10, 2.712499e-10, 3.334499e+01, 2.981091e-02
2.418000e+08, 9.169480e-02, 7.831049e-01, 2.975350e+00, -4.254839e-01, 1.969129e-10, 2.716142e-10, 3.336692e+01, 3.059468e-02
2.456000e+08, 9.143569e-02, 7.832436e-01, 2.970649e+00, -4.319690e-01, 1.943645e-10, 2.719678e-10, 3.338904e+01, 3.136074e-02
2.494000e+08, 9.117470e-02, 7.833824e-01, 2.966008e+00, -4.384625e-01, 1.918911e-10, 2.723114e-10, 3.341134e+01, 3.210947e-02
2.532000e+08, 9.091183e-02, 7.835212e-01, 2.961426e+00, -4.449642e-01, 1.894888e-10, 2.726453e-10, 3.343381e+01, 3.284128e-02
2.570000e+08, 9.064712e-02, 7.836599e-01, 2.956902e+00, -4.514739e-01, 1.871539e-10, 2.729700e-10, 3.345645e+01, 3.355654e-02
