Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 7.223525e-02, 6.086833e-01, -2.447071e+00, -4.784715e-01, 5.314094e-10, 2.195812e-10, 5.586312e+01, 9.268239e-02
2.038000e+08, 7.262285e-02, 6.097969e-01, -2.459759e+00, -4.837143e-01, 4.472618e-10, 2.165770e-10, 5.596223e+01, 9.176328e-02
2.076000e+08, 7.273148e-02, 6.111280e-01, -2.470438e+00, -4.888853e-01, 3.224352e-10, 2.184471e-10, 5.602651e+01, 9.069363e-02
2.114000e+08, 7.261645e-02, 6.126730e-01, -2.478137e+00, -4.941010e-01, 1.667845e-10, 2.247473e-10, 5.605552e+01, 8.967371e-02
2.152000e+08, 7.235248e-02, 6.144071e-01, -2.482119e+00, -4.994671e-01, -6.860295e-12, 2.346220e-10, 5.605227e+01, 8.889257e-02
2.190000e+08, 7.202803e-02, 6.162877e-01, -2.481955e+00, -5.050689e-01, -1.828440e-10, 2.469047e-10, 5.602279e+01, 8.851050e-02
2.228000e+08, 7.173782e-02, 6.182593e-01, -2.477589e+00, -5.109640e-01, -3.436888e-10, 2.602521e-10, 5.597545e+01, 8.864485e-02
2.266000e+08, 7.157376e-02, 6.202592e-01, -2.469383e+00, -5.171779e-01, -4.721379e-10, 2.732918e-10, 5.592001e+01, 8.936064e-02
2.304000e+08, 7.161528e-02, 6.222241e-01, -2.458111e+00, -5.237030e-01, -5.539900e-10, 2.847647e-10, 5.586663e+01, 9.066665e-02
2.342000e+08, 7.192038e-02, 6.240961e-01, -2.444884e+00, -5.305021e-01, -5.809383e-10, 2.936450e-10, 5.582485e+01, 9.251726e-02
2.380000e+08, 7.251905e-02, 6.258286e-01, -2.431013e+00, -5.375132e-01, -5.523447e-10, 2.992246e-10, 5.580277e+01, 9.481943e-02
2.418000e+08, 7.341056e-02, 6.273893e-01, -2.417825e+00, -5.446575e-01, -4.751730e-10, 3.011578e-10, 5.580641e+01, 9.744398e-02
