Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 1.142092e-01, 9.938934e-01, -2.689226e+00, -5.928518e-01, 3.621288e-11, 4.619029e-10, 6.141607e+01, 1.008172e-01
2.038000e+08, 1.152348e-01, 9.939363e-01, -2.690090e+00, -6.038802e-01, 4.118373e-11, 4.622606e-10, 6.153534e+01, 1.015607e-01
2.076000e+08, 1.162598e-01, 9.939815e-01, -2.691074e+00, -6.149172e-01, 4.604011e-11, 4.626168e-10, 6.165563e+01, 1.022758e-01
2.114000e+08, 1.172842e-01, 9.940286e-01, -2.692173e+00, -6.259627e-01, 5.079242e-11, 4.629716e-10, 6.177695e+01, 1.029625e-01
2.152000e+08, 1.183078e-01, 9.940775e-01, -2.693386e+00, -6.370166e-01, 5.545078e-11, 4.633249e-10, 6.189929e+01, 1.036206e-01
2.190000e+08, 1.193307e-01, 9.941278e-01, -2.694710e+00, -6.480790e-01, 6.002500e-11, 4.636765e-10, 6.202266e+01, 1.042497e-01
2.228000e+08, 1.203528e-01, 9.941793e-01, -2.696143e+00, -6.591498e-01, 6.452450e-11, 4.640262e-10, 6.214706e+01, 1.048498e-01
2.266000e+08, 1.213741e-01, 9.942317e-01, -2.697683e+00, -6.702290e-01, 6.895823e-11, 4.643737e-10, 6.227249e+01, 1.054204e-01
2.304000e+08, 1.223945e-01, 9.942847e-01, -2.699330e+00, -6.813164e-01, 7.333468e-11, 4.647185e-10, 6.239895e+01, 1.059612e-01
2.342000e+08, 1.234141e-01, 9.943380e-01, -2.701081e+00, -6.924121e-01, 7.766180e-11, 4.650602e-10, 6.252645e+01, 1.064718e-01
2.380000e+08, 1.244327e-01, 9.943912e-01, -2.702935e+00, -7.035159e-01, 8.194698e-11, 4.653983e-10, 6.265498e+01, 1.069519e-01
2.418000e+08, 1.254504e-01, 9.944441e-01, -2.704892e+00, -7.146278e-01, 8.619703e-11, 4.657323e-10, 6.278456e+01, 1.074010e-01
2.456000e+08, 1.264670e-01, 9.944963e-01, -2.706950e+00, -7.257477e-01, 9.041818e-11, 4.660617e-10, 6.291518e+01, 1.078185e-01
2.494000e+08, 1.274825e-01, 9.945475e-01, -2.709108e+00, -7.368754e-01, 9.461601e-11, 4.663857e-10, 6.304684e+01, 1.082040e-01
2.532000e+08, 1.284968e-01, 9.945974e-01, -2.711367e+00, -7.480109e-01, 9.879552e-11, 4.667038e-10, 6.317954e+01, 1.085568e-01
2.570000e+08, 1.295098e-01, 9.946456e-01, -2.713726e+00, -7.591539e-01, 1.029611e-10, 4.670153e-10, 6.331328e+01, 1.088763e-01
2.608000e+08, 1.305215e-01, 9.946918e-01, -2.716185e+00, -7.703044e-01, 1.071164e-10, 4.673195e-10, 6.344805e+01, 1.091618e-01
2.646000e+08, 1.315315e-01, 9.947356e-01, -2.718742e+00, -7.814622e-01, 1.112647e-10, 4.676157e-10, 6.358385e+01, 1.094128e-01
2.684000e+08, 1.325399e-01, 9.947769e-01, -2.721399e+00, -7.926271e-01, 1.154085e-10, 4.679033e-10, 6.372066e+01, 1.096283e-01
2.722000e+08, 1.335465e-01, 9.948151e-01, -2.724154e+00, -8.037988e-01, 1.195496e-10, 4.681816e-10, 6.385848e+01, 1.098077e-01
