Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 8.101555e-03, 3.079174e-03, 3.981572e-01, 9.633414e-01, 1.490673e+00, 4.042901e-01, -4.509303e-01, -1.676284e-01, 2.918465e-10, 6.512537e-10, 3.644565e-10, 2.202742e-10, 4.125807e+01, 3.911640e-01
2.038000e+08, 8.220841e-03, 3.123482e-03, 3.980810e-01, 9.639989e-01, 1.483705e+00, 3.887407e-01, -4.596321e-01, -1.728877e-01, 2.859771e-10, 6.277623e-10, 3.646018e-10, 2.192983e-10, 4.143949e+01, 3.973743e-01
2.076000e+08, 8.339140e-03, 3.169393e-03, 3.980037e-01, 9.646325e-01, 1.476877e+00, 3.737521e-01, -4.683374e-01, -1.781237e-01, 2.802635e-10, 6.084896e-10, 3.647555e-10, 2.183604e-10, 4.162394e+01, 4.035234e-01
2.114000e+08, 8.456460e-03, 3.216900e-03, 3.979254e-01, 9.652437e-01, 1.470186e+00, 3.592238e-01, -4.770463e-01, -1.833373e-01, 2.746968e-10, 5.927119e-10, 3.649172e-10, 2.174592e-10, 4.181140e+01, 4.096111e-01
2.152000e+08, 8.572808e-03, 3.265973e-03, 3.978459e-01, 9.658338e-01, 1.463627e+00, 3.450721e-01, -4.857591e-01, -1.885294e-01, 2.692692e-10, 5.798118e-10, 3.650869e-10, 2.165935e-10, 4.200187e+01, 4.156373e-01
2.190000e+08, 8.688193e-03, 3.316571e-03, 3.977654e-01, 9.664040e-01, 1.457198e+00, 3.312285e-01, -4.944760e-01, -1.937008e-01, 2.639734e-10, 5.692697e-10, 3.652642e-10, 2.157619e-10, 4.219534e+01, 4.216017e-01
2.228000e+08, 8.802623e-03, 3.368642e-03, 3.976838e-01, 9.669554e-01, 1.450895e+00, 3.176365e-01, -5.031970e-01, -1.988523e-01, 2.588028e-10, 5.606523e-10, 3.654490e-10, 2.149633e-10, 4.239180e+01, 4.275044e-01
2.266000e+08, 8.916107e-03, 3.422133e-03, 3.976011e-01, 9.674893e-01, 1.444716e+00, 3.042504e-01, -5.119225e-01, -2.039848e-01, 2.537515e-10, 5.536008e-10, 3.656410e-10, 2.141965e-10, 4.259123e+01, 4.333452e-01
2.304000e+08, 9.028656e-03, 3.476989e-03, 3.975172e-01, 9.680065e-01, 1.438657e+00, 2.910325e-01, -5.206526e-01, -2.090990e-01, 2.488140e-10, 5.478192e-10, 3.658401e-10, 2.134601e-10, 4.279362e+01, 4.391239e-01
2.342000e+08, 9.140280e-03, 3.533153e-03, 3.974323e-01, 9.685079e-01, 1.432717e+00, 2.779527e-01, -5.293875e-01, -2.141956e-01, 2.439854e-10, 5.430640e-10, 3.660460e-10, 2.127532e-10, 4.299897e+01, 4.448406e-01
2.380000e+08, 9.250989e-03, 3.590573e-03, 3.973462e-01, 9.689945e-01, 1.426891e+00, 2.649865e-01, -5.381272e-01, -2.192753e-01, 2.392612e-10, 5.391358e-10, 3.662585e-10, 2.120744e-10, 4.320726e+01, 4.504951e-01
2.418000e+08, 9.360796e-03, 3.649197e-03, 3.972590e-01, 9.694670e-01, 1.421179e+00, 2.521140e-01, -5.468720e-01, -2.243388e-01, 2.346373e-10, 5.358713e-10, 3.664775e-10, 2.114227e-10, 4.341850e+01, 4.560874e-01
2.456000e+08, 9.469711e-03, 3.708976e-03, 3.971706e-01, 9.699262e-01, 1.415576e+00, 2.393195e-01, -5.556221e-01, -2.293868e-01, 2.301102e-10, 5.331367e-10, 3.667026e-10, 2.107971e-10, 4.363265e+01, 4.616176e-01
2.494000e+08, 9.577748e-03, 3.769865e-03, 3.970810e-01, 9.703727e-01, 1.410082e+00, 2.265903e-01, -5.643775e-01, -2.344198e-01, 2.256763e-10, 5.308232e-10, 3.669338e-10, 2.101963e-10, 4.384973e+01, 4.670855e-01
2.532000e+08, 9.684918e-03, 3.831819e-03, 3.969903e-01, 9.708073e-01, 1.404694e+00, 2.139163e-01, -5.731385e-01, -2.394385e-01, 2.213327e-10, 5.288419e-10, 3.671708e-10, 2.096195e-10, 4.406972e+01, 4.724911e-01
2.570000e+08, 9.791236e-03, 3.894799e-03, 3.968984e-01, 9.712304e-01, 1.399409e+00, 2.012896e-01, -5.819051e-01, -2.444434e-01, 2.170767e-10, 5.271203e-10, 3.674134e-10, 2.090656e-10, 4.429261e+01, 4.778346e-01
2.608000e+08, 9.896714e-03, 3.958767e-03, 3.968052e-01, 9.716427e-01, 1.394227e+00, 1.887040e-01, -5.906775e-01, -2.494350e-01, 2.129056e-10, 5.255996e-10, 3.676614e-10, 2.085337e-10, 4.451840e+01, 4.831158e-01
