Frequency [Hz], |S00| [-], |S10| [-], Arg(S00) [-], Arg(S10) [-], Delay 0>0 [s], Delay 0>1 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 5.954258e-02, 1.005278e+00, -2.893784e+00, -3.225672e-01, -9.201573e-10, 3.072504e-10, 5.612459e+01, 2.930476e-02
2.038000e+08, 6.049000e-02, 1.004725e+00, -2.871814e+00, -3.299031e-01, -8.677948e-10, 3.056999e-10, 5.618945e+01, 3.235046e-02
2.076000e+08, 6.146626e-02, 1.004169e+00, -2.851095e+00, -3.372020e-01, -8.179099e-10, 3.042066e-10, 5.625554e+01, 3.533032e-02
2.114000e+08, 6.246818e-02, 1.003611e+00, -2.831566e+00, -3.444653e-01, -7.704748e-10, 3.027665e-10, 5.632285e+01, 3.824673e-02
2.152000e+08, 6.349288e-02, 1.003049e+00, -2.813170e+00, -3.516942e-01, -7.254378e-10, 3.013764e-10, 5.639136e+01, 4.110191e-02
2.190000e+08, 6.453775e-02, 1.002485e+00, -2.795850e+00, -3.588899e-01, -6.827285e-10, 3.000329e-10, 5.646107e+01, 4.389789e-02
2.228000e+08, 6.560042e-02, 1.001918e+00, -2.779549e+00, -3.660535e-01, -6.422639e-10, 2.987332e-10, 5.653197e+01, 4.663656e-02
2.266000e+08, 6.667878e-02, 1.001349e+00, -2.764214e+00, -3.731861e-01, -6.039520e-10, 2.974747e-10, 5.660405e+01, 4.931967e-02
2.304000e+08, 6.777086e-02, 1.000778e+00, -2.749794e+00, -3.802886e-01, -5.676956e-10, 2.962549e-10, 5.667729e+01, 5.194884e-02
2.342000e+08, 6.887493e-02, 1.000205e+00, -2.736240e+00, -3.873620e-01, -5.333946e-10, 2.950717e-10, 5.675169e+01, 5.452554e-02
2.380000e+08, 6.998939e-02, 9.996310e-01, -2.723504e+00, -3.944072e-01, -5.009484e-10, 2.939229e-10, 5.682724e+01, 5.705119e-02
2.418000e+08, 7.111281e-02, 9.990553e-01, -2.711543e+00, -4.014249e-01, -4.702573e-10, 2.928069e-10, 5.690392e+01, 5.952705e-02
2.456000e+08, 7.224388e-02, 9.984785e-01, -2.700316e+00, -4.084160e-01, -4.412236e-10, 2.917217e-10, 5.698174e+01, 6.195432e-02
2.494000e+08, 7.338142e-02, 9.979007e-01, -2.689781e+00, -4.153812e-01, -4.137527e-10, 2.906660e-10, 5.706067e+01, 6.433411e-02
2.532000e+08, 7.452434e-02, 9.973221e-01, -2.679902e+00, -4.223212e-01, -3.877537e-10, 2.896382e-10, 5.714070e+01, 6.666745e-02
2.570000e+08, 7.567168e-02, 9.967429e-01, -2.670644e+00, -4.292366e-01, -3.631396e-10, 2.886370e-10, 5.722184e+01, 6.895529e-02
2.608000e+08, 7.682253e-02, 9.961634e-01, -2.661974e+00, -4.361281e-01, -3.398274e-10, 2.876612e-10, 5.730406e+01, 7.119852e-02
2.646000e+08, 7.797610e-02, 9.955836e-01, -2.653860e+00, -4.429963e-01, -3.177388e-10, 2.867097e-10, 5.738735e+01, 7.339797e-02
2.684000e+08, 7.913163e-02, 9.950040e-01, -2.646274e+00, -4.498419e-01, -2.967997e-10, 2.857814e-10, 5.747170e+01, 7.555441e-02
2.722000e+08, 8.028844e-02, 9.944245e-01, -2.639187e+00, -4.566652e-01, -2.769401e-10, 2.848754e-10, 5.755711e+01, 7.766855e-02
2.760000e+08, 8.144593e-02, 9.938454e-01, -2.632575e+00, -4.634669e-01, -2.580946e-10, 2.839907e-10, 5.764356e+01, 7.974107e-02
