Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 1.379184e-01, 7.093544e-01, 7.165553e-01, 3.004032e+00, -4.607486e-02, -7.190149e-02, 3.565981e-11, 4.967535e-11, 6.731145e-11, 6.581658e+01, -3.853894e-02
2.038000e+08, 1.378220e-01, 7.094255e-01, 7.166605e-01, 3.003181e+00, -4.726092e-02, -7.350862e-02, 3.744828e-11, 4.945897e-11, 6.729517e-11, 6.580155e+01, -3.874761e-02
2.076000e+08, 1.377124e-01, 7.095087e-01, 7.167766e-01, 3.002287e+00, -4.844180e-02, -7.511537e-02, 3.883655e-11, 4.930809e-11, 6.733384e-11, 6.578464e+01, -3.896387e-02
2.114000e+08, 1.375901e-01, 7.096035e-01, 7.169028e-01, 3.001360e+00, -4.961909e-02, -7.672304e-02, 3.985081e-11, 4.921773e-11, 6.742247e-11, 6.576595e+01, -3.918512e-02
2.152000e+08, 1.374558e-01, 7.097091e-01, 7.170383e-01, 3.000408e+00, -5.079422e-02, -7.833282e-02, 4.051697e-11, 4.918289e-11, 6.755605e-11, 6.574559e+01, -3.940899e-02
2.190000e+08, 1.373100e-01, 7.098248e-01, 7.171823e-01, 2.999441e+00, -5.196851e-02, -7.994580e-02, 4.086076e-11, 4.919864e-11, 6.772960e-11, 6.572369e+01, -3.963329e-02
2.228000e+08, 1.371537e-01, 7.099499e-01, 7.173339e-01, 2.998465e+00, -5.314319e-02, -8.156292e-02, 4.090772e-11, 4.926006e-11, 6.793819e-11, 6.570035e+01, -3.985604e-02
2.266000e+08, 1.369875e-01, 7.100835e-01, 7.174924e-01, 2.997488e+00, -5.431932e-02, -8.318502e-02, 4.068319e-11, 4.936227e-11, 6.817695e-11, 6.567570e+01, -4.007543e-02
2.304000e+08, 1.368123e-01, 7.102250e-01, 7.176569e-01, 2.996517e+00, -5.549790e-02, -8.481282e-02, 4.021236e-11, 4.950050e-11, 6.844109e-11, 6.564988e+01, -4.028986e-02
2.342000e+08, 1.366289e-01, 7.103734e-01, 7.178264e-01, 2.995557e+00, -5.667978e-02, -8.644692e-02, 3.952017e-11, 4.967003e-11, 6.872590e-11, 6.562299e+01, -4.049793e-02
2.380000e+08, 1.364380e-01, 7.105281e-01, 7.180001e-01, 2.994613e+00, -5.786571e-02, -8.808783e-02, 3.863139e-11, 4.986623e-11, 6.902681e-11, 6.559519e+01, -4.069842e-02
2.418000e+08, 1.362407e-01, 7.106880e-01, 7.181772e-01, 2.993691e+00, -5.905632e-02, -8.973592e-02, 3.757048e-11, 5.008461e-11, 6.933935e-11, 6.556659e+01, -4.089028e-02
2.456000e+08, 1.360378e-01, 7.108525e-01, 7.183567e-01, 2.992794e+00, -6.025214e-02, -9.139147e-02, 3.636162e-11, 5.032079e-11, 6.965922e-11, 6.553733e+01, -4.107267e-02
2.494000e+08, 1.358301e-01, 7.110207e-01, 7.185379e-01, 2.991926e+00, -6.145361e-02, -9.305467e-02, 3.502864e-11, 5.057053e-11, 6.998229e-11, 6.550753e+01, -4.124489e-02
2.532000e+08, 1.356186e-01, 7.111918e-01, 7.187199e-01, 2.991089e+00, -6.266104e-02, -9.472557e-02, 3.359493e-11, 5.082975e-11, 7.030458e-11, 6.547732e+01, -4.140644e-02
2.570000e+08, 1.354041e-01, 7.113650e-01, 7.189019e-01, 2.990287e+00, -6.387465e-02, -9.640417e-02, 3.208345e-11, 5.109454e-11, 7.062234e-11, 6.544683e+01, -4.155696e-02
2.608000e+08, 1.351875e-01, 7.115396e-01, 7.190832e-01, 2.989521e+00, -6.509459e-02, -9.809036e-02, 3.051658e-11, 5.136117e-11, 7.093202e-11, 6.541618e+01, -4.169628e-02
2.646000e+08, 1.349697e-01, 7.117147e-01, 7.192629e-01, 2.988793e+00, -6.632090e-02, -9.978394e-02, 2.891612e-11, 5.162612e-11, 7.123027e-11, 6.538548e+01, -4.182435e-02
2.684000e+08, 1.347515e-01, 7.118897e-01, 7.194404e-01, 2.988102e+00, -6.755353e-02, -1.014846e-01, 2.730317e-11, 5.188605e-11, 7.151400e-11, 6.535485e+01, -4.194127e-02
2.722000e+08, 1.345337e-01, 7.120638e-01, 7.196150e-01, 2.987450e+00, -6.879236e-02, -1.031921e-01, 2.569808e-11, 5.213784e-11, 7.178035e-11, 6.532441e+01, -4.204728e-02
2.760000e+08, 1.343171e-01, 7.122364e-01, 7.197861e-01, 2.986837e+00, -7.003721e-02, -1.049059e-01, 2.412035e-11, 5.237859e-11, 7.202670e-11, 6.529425e+01, -4.214275e-02
2.798000e+08, 1.341026e-01, 7.124068e-01, 7.199530e-01, 2.986261e+00, -7.128781e-02, -1.066257e-01, 2.258858e-11, 5.260565e-11, 7.225069e-11, 6.526447e+01, -4.222817e-02
2.836000e+08, 1.338907e-01, 7.125745e-01, 7.201153e-01, 2.985722e+00, -7.254383e-02, -1.083507e-01, 2.112038e-11, 5.281656e-11, 7.245024e-11, 6.523517e+01, -4.230413e-02
2.874000e+08, 1.336823e-01, 7.127389e-01, 7.202724e-01, 2.985217e+00, -7.380488e-02, -1.100806e-01, 1.973230e-11, 5.300913e-11, 7.262350e-11, 6.520644e+01, -4.237133e-02
2.912000e+08, 1.334780e-01, 7.128995e-01, 7.204239e-01, 2.984746e+00, -7.507053e-02, -1.118145e-01, 1.843977e-11, 5.318140e-11, 7.276890e-11, 6.517834e+01, -4.243056e-02
2.950000e+08, 1.332783e-01, 7.130558e-01, 7.205694e-01, 2.984306e+00, -7.634030e-02, -1.135520e-01, 1.725701e-11, 5.333165e-11, 7.288515e-11, 6.515096e+01, -4.248267e-02
2.988000e+08, 1.330840e-01, 7.132073e-01, 7.207085e-01, 2.983894e+00, -7.761365e-02, -1.152922e-01, 1.619700e-11, 5.345839e-11, 7.297119e-11, 6.512437e+01, -4.252863e-02
3.026000e+08, 1.328954e-01, 7.133537e-01, 7.208410e-01, 2.983507e+00, -7.889003e-02, -1.170344e-01, 1.527142e-11, 5.356037e-11, 7.302624e-11, 6.509862e+01, -4.256942e-02
3.064000e+08, 1.327131e-01, 7.134947e-01, 7.209666e-01, 2.983143e+00, -8.016884e-02, -1.187780e-01, 1.449059e-11, 5.363660e-11, 7.304979e-11, 6.507376e+01, -4.260610e-02
3.102000e+08, 1.325375e-01, 7.136299e-01, 7.210851e-01, 2.982797e+00, -8.144947e-02, -1.205222e-01, 1.386347e-11, 5.368630e-11, 7.304155e-11, 6.504984e+01, -4.263978e-02
3.140000e+08, 1.323689e-01, 7.137591e-01, 7.211963e-01, 2.982466e+00, -8.273129e-02, -1.222661e-01, 1.339759e-11, 5.370892e-11, 7.300149e-11, 6.502689e+01, -4.267159e-02
3.178000e+08, 1.322077e-01, 7.138821e-01, 7.213003e-01, 2.982146e+00, -8.401365e-02, -1.240091e-01, 1.309906e-11, 5.370413e-11, 7.292982e-11, 6.500495e+01, -4.270269e-02
3.216000e+08, 1.320542e-01, 7.139988e-01, 7.213970e-01, 2.981833e+00, -8.529590e-02, -1.257504e-01, 1.297254e-11, 5.367183e-11, 7.282697e-11, 6.498404e+01, -4.273426e-02
3.254000e+08, 1.319086e-01, 7.141090e-01, 7.214863e-01, 2.981523e+00, -8.657737e-02, -1.274892e-01, 1.302129e-11, 5.361211e-11, 7.269359e-11, 6.496416e+01, -4.276746e-02
3.292000e+08, 1.317709e-01, 7.142127e-01, 7.215684e-01, 2.981212e+00, -8.785742e-02, -1.292249e-01, 1.324712e-11, 5.352527e-11, 7.253053e-11, 6.494534e+01, -4.280348e-02
